,ReportDate,TransactionDate,Ticker,Representative,Transaction,Amount,House,Range
0,2022-09-16,2022-08-17,MSFT, Josh Gottheimer,Sale,100001.0,Representatives,"$100,001-250,000"
1,2022-09-16,2022-08-17,MSFT, Josh Gottheimer,Purchase,100001.0,Representatives,"$100,001-250,000"
2,2022-09-10,2022-08-10,MSFT, Robert J. Wittman,Purchase,1001.0,Representatives,"$1,001-$15,000"
3,2022-09-14,2022-08-05,MSFT, Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
4,2022-08-10,2022-07-27,MSFT, Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
5,2022-08-10,2022-07-27,MSFT, Kathy Manning,Purchase,15001.0,Representatives,"$15,001-$50,000"
6,2022-08-10,2022-07-27,MSFT, Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
7,2022-08-10,2022-07-27,MSFT, Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
8,2022-08-10,2022-07-15,MSFT, Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
9,2022-08-29,2022-07-15,MSFT, Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
10,2022-07-22,2022-06-14,MSFT, Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
11,2022-07-15,2022-06-09,MSFT, Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
12,2022-06-16,2022-05-13,MSFT, Ed Perlmutter,Sale,1001.0,Representatives,"$1,001-$15,000"
13,2022-04-17,2022-04-15,MSFT, Pete Sessions,Purchase,1001.0,Representatives,"$1,001-$15,000"
14,2022-05-25,2022-04-12,MSFT, August Lee Pfluger Ii,Sale,15001.0,Representatives,"$15,001-$50,000"
15,2022-04-12,2022-03-10,MSFT, Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
16,2022-04-17,2022-03-09,MSFT, Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
17,2022-03-03,2022-02-28,MSFT, Donald Sternoff Beyer Jr.,Sale,15001.0,Representatives,"$15,001-$50,000"
18,2022-03-07,2022-02-24,MSFT, Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
19,2022-02-18,2022-02-23,MSFT, Pete Sessions,Purchase,1001.0,Representatives,"$1,001-$15,000"
20,2022-02-19,2022-01-27,MSFT, Deborah K. Ross,Sale,1001.0,Representatives,"$1,001-$15,000"
21,2022-02-19,2022-01-21,MSFT, Deborah K. Ross,Sale,1001.0,Representatives,"$1,001-$15,000"
22,2022-02-04,2022-01-05,MSFT, Virginia Foxx,Purchase,15001.0,Representatives,"$15,001-$50,000"
23,2022-01-08,2022-01-04,MSFT, Deborah K. Ross,Sale,1001.0,Representatives,"$1,001-$15,000"
24,2022-02-11,2021-12-31,MSFT, Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
25,2022-01-11,2021-12-09,MSFT, Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
26,2022-01-08,2021-12-09,MSFT, Deborah K. Ross,Sale,1001.0,Representatives,"$1,001-$15,000"
27,2022-01-10,2021-12-06,MSFT, Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
28,2021-12-31,2021-12-02,MSFT, Michael C. Burgess,Purchase,1001.0,Representatives,"$1,001-$15,000"
29,2021-12-01,2021-11-24,MSFT, Thomas Suozzi,Purchase,50001.0,Representatives,"$50,001-$100,000"
30,2021-11-15,2021-10-28,MSFT, Josh Gottheimer,Purchase,15001.0,Representatives,"$15,001-$50,000"
31,2021-11-15,2021-10-19,MSFT, Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
32,2021-10-29,2021-10-18,MSFT, Suzan K. Delbene,Sale,5000000.0,Representatives,">$5,000,000"
33,2021-10-14,2021-09-16,MSFT, Katherine M. Clark,Sale,1001.0,Representatives,"$1,001-$15,000"
34,2021-10-07,2021-09-09,MSFT, Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
35,2022-02-11,2021-09-08,MSFT, Pete Sessions,Purchase,1001.0,Representatives,"$1,001-$15,000"
36,2021-10-15,2021-09-03,MSFT, Suzan K. Delbene,Sale,5000000.0,Representatives,">$5,000,000"
37,2021-09-15,2021-08-31,MSFT, Suzan K. Delbene,Purchase,5000000.0,Representatives,">$5,000,000"
38,2021-09-15,2021-08-30,MSFT, Suzan K. Delbene,Purchase,250001.0,Representatives,"$250,001-$1,000,000"
39,2022-02-11,2021-08-19,MSFT, Pete Sessions,Purchase,1001.0,Representatives,"$1,001-$15,000"
40,2021-09-08,2021-08-06,MSFT, Marie Newman,Purchase,1001.0,Representatives,"$1,001-$15,000"
41,2021-08-15,2021-07-27,MSFT, Katherine M. Clark,Purchase,1001.0,Representatives,"$1,001-$15,000"
42,2021-08-15,2021-07-27,MSFT, Katherine M. Clark,Purchase,1001.0,Representatives,"$1,001-$15,000"
43,2021-09-15,2021-07-21,MSFT, Kevin Hern,Purchase,100001.0,Representatives,"$100,001-250,000"
44,2021-08-06,2021-07-02,MSFT, Suzan K. Delbene,Purchase,1001.0,Representatives,"$1,001-$15,000"
45,2021-07-14,2021-06-25,MSFT, Kevin Hern,Purchase,100001.0,Representatives,"$100,001-250,000"
46,2021-07-14,2021-06-25,MSFT, Kevin Hern,Purchase,250001.0,Representatives,"$250,001-$1,000,000"
47,2021-07-06,2021-06-22,MSFT, John Curtis,Sale,1001.0,Representatives,"$1,001-$15,000"
