,Date,Description,Agency,Amount
0,2022-10-19,DEA MICROSOFT ACTIVE DIRECTORY,DEPARTMENT OF JUSTICE (DOJ),152190.0
1,2022-10-15,MICROSOFT SERVICE PREMIER SUPPORT RENEWAL,DEPARTMENT OF STATE (DOS),166260.0
2,2022-10-08,"---------- COMMENTS: APPROVED ON BEHALF OF THE DEPARTMENT CIO - MCKENNONCP FOR YOSHIOKAM  UII ALIGNMENT REVIEWED - INV - BUREAU IT SUPPORT - ISN 014-000000135 ASSET ID: OKAY PSC: OKAY  **AQM- THIS REQUEST IS FOR DATA ARCHIVE, ANALYSIS AND VERIFICATIO",DEPARTMENT OF STATE (DOS),582992.2
3,2022-10-03,ORDER AGAINST CONTRACT #28321318D00060018 FOR MICROSOFT CONSULTING SUPPORT FOR MICROSOFT ENDPOINT CONFIGURATION MANAGER (MECM) UPGRADE AND APPLICATION MAINTENANCE.,SOCIAL SECURITY ADMINISTRATION (SSA),677210.0
4,2022-10-03,TASK ORDER FOR MICROSOFT CONSULTING SERVICES (MCS) FOR COURT HEARING TRANSCRIPTION USING MICROSOFT VIDEO INDEXER AND MICROSOFT STREAM.,SOCIAL SECURITY ADMINISTRATION (SSA),243875.68
5,2022-10-03,MICROSOFT PREMIER SERVICES - MS PREMIER DYNAMICS AZURE,DEPARTMENT OF STATE (DOS),303827.61
6,2022-10-03,MICROSOFT PREMIERE SUPPORT,FEDERAL MARITIME COMMISSION (FMC),1599716.0
7,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973034,DEPARTMENT OF JUSTICE (DOJ),329680.0
8,2022-10-01,MICROSOFT CONSULTING SERVICE - LABOR,DEPARTMENT OF DEFENSE (DOD),6229600.96
9,2022-10-01,MCS LABOR,DEPARTMENT OF DEFENSE (DOD),3661135.96
10,2022-10-01,IGF::OT::IGF  MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973035,DEPARTMENT OF JUSTICE (DOJ),142572.0
11,2022-10-01,IGF::CT::IGF ACTION AND CONCURRENCE TRACKER (ACT) END-USER SUPPORT II,DEPARTMENT OF HOMELAND SECURITY (DHS),3844.48
12,2022-10-01,MICROSOFT PREMIER SUPPORT - LABOR,DEPARTMENT OF DEFENSE (DOD),156789.5
13,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973030,DEPARTMENT OF JUSTICE (DOJ),926200.0
14,2022-10-01,IGF::CL::IGF MICROSOFT CONSULTING SERVICE - LABOR,DEPARTMENT OF DEFENSE (DOD),225922.71
15,2022-10-01,IGF::OT::IGF COMPUTER DEVICES,SMITHSONIAN INSTITUTION (SI),23750.0
16,2022-10-01,MPS SERVICES LABOR,DEPARTMENT OF DEFENSE (DOD),7023833.83
17,2022-10-01,MICROSOFT CORP:1110021 [18-011913] HOLOLENS IMAGING,DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS),6000.0
18,2022-10-01,IGF::OT::IGF  MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973033,DEPARTMENT OF JUSTICE (DOJ),550652.0
19,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES FOR JCON-S YRG$T5973023,DEPARTMENT OF JUSTICE (DOJ),100950.0
20,2022-10-01,IGF::OT::IGF  MICROSOFT ENTERPRISE SERVICES,DEPARTMENT OF DEFENSE (DOD),3062496.36
21,2022-10-01,MICROSOFT CONSULTING SERVICE,DEPARTMENT OF DEFENSE (DOD),957366.92
22,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973032,DEPARTMENT OF JUSTICE (DOJ),388400.0
23,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$U5973056,DEPARTMENT OF JUSTICE (DOJ),165590.0
24,2022-10-01,IGF::CT::IGF-LABOR,DEPARTMENT OF DEFENSE (DOD),1252137.49
25,2022-10-01,MICROSOFT TRANSLATOR SOFTWARE YRG$U02PR0040,DEPARTMENT OF JUSTICE (DOJ),300000.0
26,2022-10-01,MPS SERVICES (LABOR),DEPARTMENT OF DEFENSE (DOD),1504950.0
27,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973036,DEPARTMENT OF JUSTICE (DOJ),254956.0
28,2022-10-01,TO ESTABLISH MICROSOFT PREMIER SUPPORT.,DEPARTMENT OF HOMELAND SECURITY (DHS),172200.0
29,2022-10-01,VIRTUAL REALITY GOGGLES FOR ENGINEERING.,DEPARTMENT OF HOMELAND SECURITY (DHS),6016.99
30,2022-10-01,MICROSOFT PREMIER SUPPORT - LABOR,DEPARTMENT OF DEFENSE (DOD),70418.24
31,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973052,DEPARTMENT OF JUSTICE (DOJ),175048.0
32,2022-10-01,IGF::CL::IGF MICROSOFT CONSULTING SERVICE-LABOR,DEPARTMENT OF DEFENSE (DOD),225692.55
33,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973050,DEPARTMENT OF JUSTICE (DOJ),62720.0
34,2022-10-01,"IGF::OT::IGT  MICROSOFT PREMIER SERVICES TO SUPPORT THE APPLICATION AUTHENTICATION (APPAUTH) ENVIRONMENT.  THESE SERVICES INCLUDE ACTIVE DIRECTORY SERVICES, ACTIVE DIRECTORY FEDERATION SERVICES, AND 24X7 3RD LEVEL SUPPORT.",DEPARTMENT OF HOMELAND SECURITY (DHS),954799.92
35,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973049,DEPARTMENT OF JUSTICE (DOJ),217856.0
36,2022-10-01,PUGET SOUND NAVAL SHIPYARD-MPS,DEPARTMENT OF DEFENSE (DOD),165415.6
37,2022-10-01,IGF::CT::IGF NEW TASK ORDER AGAINST CONTRACT SS00-13-60014 FOR MICROSOFT SUPPORT SERVICES ARE REQUIRED FOR IT MODERNIZATION/BACKOFFICE/SHAREPOINT SUPPORT SERVICES.,SOCIAL SECURITY ADMINISTRATION (SSA),636145.0
38,2022-10-01,IGF::CT::IGF MICROSOFT INSTALLATION OF ADVANCED THREAT ANALYTICS,DEPARTMENT OF HOMELAND SECURITY (DHS),49183.66
39,2022-10-01,MICROSOFT PERMIER SUPPORT - LABOR,DEPARTMENT OF DEFENSE (DOD),167084.64
40,2022-10-01,APPROVAL FLOW EDIT: BRETT GITTLESON DELETED BY SUPPORT DESK AGENT - JEREMIAH J. MANUEL ON WED SEP 05 11:34:21 EDT 2018   REASON DELETED: INC0580149  APPROVAL FLOW EDIT: BRETT GITTLESON ADDED BY KEVIN J. VOGEL ON WED SEP 05 08:25:55 EDT 2018   REASON ADDED: WHY DOES S/ES-EX NEED TO APPROVE THIS REQUEST IF IT WAS ALREADY APPROVED BY S/ES-IRM?  POP: 09/30/18 - 09/29/19  PRIOR YEAR REQUISITION SAQMMA17F4977  SOLE SOURCE VENDOR,DEPARTMENT OF STATE (DOS),153600.0
41,2022-10-01,IGF::CT::IGF TASK ORDER FOR MICROSOFT EXCHANGE 2016 UPGRADE AND OFFICE 365 EXCHANGE ONLINE ONBOARDING ASSISTANCE,SOCIAL SECURITY ADMINISTRATION (SSA),586374.0
42,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973017,DEPARTMENT OF JUSTICE (DOJ),27755.0
43,2022-10-01,"IGF::CT::IGF TASK ORDER, 28321318FDX030152, AGAINST CONTRACT NUMBER SS00-13-60014 FOR WINDOWS 10 OPERATING SYSTEM ROLL-OUT",SOCIAL SECURITY ADMINISTRATION (SSA),280502.0
44,2022-10-01,MICROSOFT PREMIER SUPPORT - LABOR IGF::CT::IGF,DEPARTMENT OF DEFENSE (DOD),445661.65
45,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973029,DEPARTMENT OF JUSTICE (DOJ),2758810.0
46,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973048,DEPARTMENT OF JUSTICE (DOJ),475500.0
47,2022-10-01,TO ESTABLISH FUNDING FOR MICROSOFT'S 365 SERVICE.,DEPARTMENT OF HOMELAND SECURITY (DHS),69573.5
48,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT.,SMITHSONIAN INSTITUTION (SI),94083.0
49,2022-10-01,IGF::OT::IGF MICROSOFT PREMIER SUPPORT SERVICES YRG$T5973028,DEPARTMENT OF JUSTICE (DOJ),845000.0
50,2022-10-01,MICROSOFT SERVICES,FEDERAL MEDIATION AND CONCILIATION SERVICE (FMCS),66640.0
51,2022-10-01,MPS SERVICES LABOR,DEPARTMENT OF DEFENSE (DOD),5204099.96
52,2022-10-01,MICROSOFT CONSULTING SERVICES,DEPARTMENT OF DEFENSE (DOD),2535628.0
