,Ticker,Date,Name,AcquiredDisposedCode,TransactionCode,Shares,PricePerShare,SharesOwnedFollowing
0,MSFT,2022-10-17T00:00:00.000Z,Jolla Alice L.,D,F,177.469,228.56,67294.682
1,MSFT,2022-09-19T00:00:00.000Z,Althoff Judson,A,A,27996.0,0.0,174191.141
2,MSFT,2022-09-19T00:00:00.000Z,Young Christopher David,A,A,14342.0,0.0,111200.0005
3,MSFT,2022-09-19T00:00:00.000Z,SMITH BRADFORD L,A,A,29641.0,0.0,641946.4556
4,MSFT,2022-09-19T00:00:00.000Z,Capossela Christopher C,A,A,11302.0,0.0,121138.7259
5,MSFT,2022-09-19T00:00:00.000Z,Hogan Kathleen T,A,A,12621.0,0.0,219066.6006
6,MSFT,2022-09-19T00:00:00.000Z,Hood Amy,A,A,33465.0,0.0,479324.0
7,MSFT,2022-09-12T00:00:00.000Z,Capossela Christopher C,D,S,5000.0,266.2501,109836.7259
8,MSFT,2022-09-02T00:00:00.000Z,Hood Amy,D,S,75351.395,259.4655,445859.0
9,MSFT,2022-09-01T00:00:00.000Z,Nadella Satya,D,S,15471.0,256.1627,840680.446
10,MSFT,2022-09-01T00:00:00.000Z,Nadella Satya,D,S,99.0,260.74,799152.446
11,MSFT,2022-09-01T00:00:00.000Z,Nadella Satya,D,S,3295.0,260.0665,799251.446
12,MSFT,2022-09-01T00:00:00.000Z,Nadella Satya,D,S,14370.0,258.9257,802546.446
13,MSFT,2022-09-01T00:00:00.000Z,Nadella Satya,D,S,14398.0,258.1669,816916.446
14,MSFT,2022-09-01T00:00:00.000Z,Nadella Satya,D,S,9366.0,256.8175,831314.446
15,MSFT,2022-08-31T00:00:00.000Z,Hood Amy,D,F,35400.332,262.97,521210.395
16,MSFT,2022-08-31T00:00:00.000Z,Young Christopher David,D,F,2612.866,262.97,96858.0005
17,MSFT,2022-08-31T00:00:00.000Z,Althoff Judson,D,F,20815.533,262.97,146195.141
18,MSFT,2022-08-31T00:00:00.000Z,Althoff Judson,A,A,42334.0,0.0,167010.674
19,MSFT,2022-08-31T00:00:00.000Z,Capossela Christopher C,A,A,30054.0,0.0,129144.7535
20,MSFT,2022-08-31T00:00:00.000Z,Hogan Kathleen T,A,A,29085.0,0.0,220803.1206
21,MSFT,2022-08-31T00:00:00.000Z,Hogan Kathleen T,D,F,14096.52,262.97,206706.6006
22,MSFT,2022-08-31T00:00:00.000Z,Capossela Christopher C,D,F,14314.745,262.97,114836.7259
23,MSFT,2022-08-31T00:00:00.000Z,Jolla Alice L.,A,A,1798.0,0.0,67472.1506
24,MSFT,2022-08-31T00:00:00.000Z,Jolla Alice L.,A,A,4162.0,0.0,65674.1506
25,MSFT,2022-08-31T00:00:00.000Z,Jolla Alice L.,D,F,505.901,262.97,61512.1506
26,MSFT,2022-08-31T00:00:00.000Z,SMITH BRADFORD L,A,A,59462.0,0.0,641644.932
27,MSFT,2022-08-31T00:00:00.000Z,SMITH BRADFORD L,D,F,29416.585,262.97,612305.4556
28,MSFT,2022-08-31T00:00:00.000Z,Hood Amy,A,A,72387.0,0.0,556610.727
29,MSFT,2022-08-31T00:00:00.000Z,Nadella Satya,D,F,70448.592,262.97,896569.446
30,MSFT,2022-08-31T00:00:00.000Z,Nadella Satya,A,A,161578.0,0.0,967018.038
31,MSFT,2022-08-30T00:00:00.000Z,List Teri,A,A,223.0,0.0,2092.0
32,MSFT,2022-08-30T00:00:00.000Z,SMITH BRADFORD L,D,F,1557.923,265.23,582182.932
33,MSFT,2022-08-30T00:00:00.000Z,Jolla Alice L.,D,F,84.361,265.23,62018.0516
