,Date,Ticker,Client,Amount,Issue,Specific_Issue
0,2022-10-19,MSFT,MICROSOFT CORPORATION,50000.0,"Defense 
 Computer Industry 
 Budget/Appropriations","House (HR 7900) and Senate (S 4350) Fiscal Year 2023 National Defense Authorization Act -- issues related to funding and policy regarding the Integrated Visual Augmentation System (IVAS), cloud computing, quantum technologies, and artificial intelligence. 
 Issues related to cloud computing, quantum technologies, and artificial intelligence. 
 House (HR 8236) and Senate (S 4663) Fiscal Year 2023 Department of Defense Appropriations Bill - issues and funding related to the Integrated Visual Augmentation System (IVAS), cloud computing, and quantum technologies."
1,2022-10-18,MSFT,MICROSOFT CORPORATION,50000.0,Energy/Nuclear,Clean energy Transmission Innovation Climate-related policies
2,2022-10-17,MSFT,MICROSOFT,10000.0,Education,Advocated for specific funding of computer science education. H.R. 3602 H.R. 4521 S. 1394 S. 1260
3,2022-10-15,MSFT,MICROSOFT CORPORATION,90000.0,"Labor Issues/Antitrust/Workplace 
 Telecommunications 
 Environment/Superfund 
 Defense 
 Communications/Broadcasting/Radio/TV 
 Immigration 
 Intelligence 
 Trade (domestic/foreign) 
 Law Enforcement/Crime/Criminal Justice 
 Homeland Security 
 Taxation/Internal Revenue Code 
 Copyright/Patent/Trademark 
 Computer Industry","Issues related to competition in the technology sector; S. 673/H.R. 1735 - Journalism Competition and Preservation Act of 2021; S. 2992/H.R. 3816 - American Innovation and Choice Online Act; S. 2710/H.R. 5017 - Open App Markets Act; S. 2434 - Local Journalism Sustainability Act; H.R. 3843-Merger Filing Fee Modernization Act of 2022 
 Issues related to high-speed broadband internet accessibility; Issues related to Internet regulation; S. 3538 - EARN IT Act of 2022. 
 Issues related to sustainability; S. 1251 - Growing Climate Solutions Act; H.R. 5376 - Build Back Better Act, issues related to sustainability. 
 Issues related to government contracting; National Defense Authorization Act for Fiscal Year 2022 (PL 117-81), issues related to circuit board manufacturing. 
 CHIPS and Science Act of 2022 (PL 117-167), issues related to next generation wireless technology; Issues related to satellite communications; Infrastructure Investment and Jobs Act (PL 117-58), issues related to broadband deployment and cybersecurity. 
 Issues related to immigration; S. Con. Res. 14, issues related to immigration; H.R. 5376 - Build Back Better Act, issues related to immigration. 
 International law enforcement access to data issues; Surveillance and encryption issues; Issues related to export controls; Issues related to China. 
 International law enforcement access to data issues; Surveillance and encryption issues; Issues related to export controls; Issues related to China; Issues related to sanctions and human rights. 
 Law enforcement access to data; Facial recognition issues; Issues related to policing reform. 
 General cyber incident reporting; H.R. 6497 - the Federal Information Security Modernization Act of 2022; Infrastructure Investment and Jobs Act (PL 117-58), issues related to state and local cybersecurity grants; Consolidated Appropriations Act, 2022 (PL 117-103). General cyber issues related to ransomware, general National Cybersecurity Strategy issues; H.R. 7900 - National Defense Authorization Act for Fiscal Year 2023; S. 4543 - James M. Inhofe National Defense Authorization Act for Fiscal Year 2023. 
 H.R. 5376 - Inflation Reduction Act of 2022, issues related to taxes. 
 Intellectual Property issues. 
 Government innovation; Innovation in the technology sector; Government acquisition issues; Infrastructure Investment and Jobs Act (PL 117-58), issues related to broadband deployment and cybersecurity; Consolidated Appropriations Act, 2022 (PL 117-103).; CHIPS and Science Act of 2022 (P.L. 117-167);"
4,2022-10-14,MSFT,MICROSOFT CORP,60000.0,"Labor Issues/Antitrust/Workplace 
 Law Enforcement/Crime/Criminal Justice 
 Homeland Security 
 Intelligence 
 Computer Industry 
 Communications/Broadcasting/Radio/TV","Issues related to competitiveness 
 Issues related to transparency; privacy; government surveillance 
 Issues related to cybersecurity; information sharing; data breaches 
 Issues related to transparency; privacy; government surevillance 
 Issues related to internet competition; Internet of Things; data privacy; encryption; data breach; cybersecurity; critical infrastructure; supply chain; artificial intelligence; facial recognition 
 Issues related to internet competition; Internet of Things; data privacy; encryption; data breach; cybersecurity; telecommunications and broadband"
5,2022-10-12,MSFT,MICROSOFT CORPORATION,30000.0,Computer Industry,"Issues related to information technology, cloud computing, artificial intelligence, HBCU research funding, and Integrated Visual Augmentation System (IVAS); FY22 Consolidated Appropriations Act (H.R.2471, P.L.117-103); FY23 Department of Defense Appropriations Act (H.R.8236, S.4663); FY23 National Defense Authorization Act (H.R.7900, S.4543). Government innovation and IT modernization initiative; Select Committee on the Modernization of Congress."
6,2022-10-07,MSFT,MICROSOFT CORPORATION,50000.0,"Taxation/Internal Revenue Code 
 Telecommunications 
 Intelligence 
 Homeland Security 
 Immigration","Tax reform 
 ECPA, CS for Al, STEM, TV White Spaces, Ariband, Rural Broadband 
 Warrants, Surveillance EPCA, Cyber Security 
 Cyber Security, Bulk Data collection, Surveillance, ECPA, Lawful Access 
 High Skilled immigration, Immigration reform, DACA"
7,2022-07-21,MSFT,MICROSOFT,10000.0,Education,Advocated for specific funding of computer science education. H.R. 3602 H.R. 4521 S. 1394 S. 1260
8,2022-07-20,MSFT,MICROSOFT CORPORATION,40000.0,Computer Industry,"Issues related to information technology, innovation, and research funding"
9,2022-07-20,MSFT,MICROSOFT CORPORATION,50000.0,"Transportation 
 Environment/Superfund 
 Communications/Broadcasting/Radio/TV 
 Taxation/Internal Revenue Code 
 Homeland Security 
 Budget/Appropriations 
 Telecommunications","Infrastructure Investment and Jobs Act (P.L. 117-58). FY23 Transportation, Housing and Urban Development Appropriations (H.R. 8294). Build Back Better Act (H.R.5376). 
 Issues related to sustainability. Surface transportation reauthorization. 
 Issues related to broadband mapping and deployment. 
 Issues related to tax reform. 
 Immigration issues. General tech issues, privacy and cyber issues, encryption issues, data security issues, and online content issues. 
 Tech funding and privacy issues. Computer science education issues. Digital training and short-term training issues. 
 Warrant issues, general technology issues, artificial intelligence issues, TV White Spaces, facial recognition issues, data privacy issues, and broadband mapping. United States Innovation and Competition Act of 2021. American Data Privacy and Protection Act (H.R. 8152). Freight Logistics Optimization Works (FLOW)."
