,Date,Ticker,OTC_Short,OTC_Total,DPI
0,2022-10-18,MSFT,2706956,9026591,0.2998868565
1,2022-10-17,MSFT,2413213,7744428,0.3116063575
2,2022-10-14,MSFT,2480277,8318800,0.2981532192
3,2022-10-13,MSFT,4370245,13857370,0.3153733356
4,2022-10-12,MSFT,2271761,8123811,0.2796422763
5,2022-10-11,MSFT,2564012,10281113,0.2493905086
6,2022-10-10,MSFT,3473911,11320875,0.306858878
7,2022-10-07,MSFT,3877915,11482962,0.3377103399
8,2022-10-06,MSFT,2624109,6184646,0.424294131
9,2022-10-05,MSFT,3745330,7709533,0.4858050416
10,2022-10-04,MSFT,4211297,11564699,0.3641510255
11,2022-10-03,MSFT,2542938,8701797,0.2922313632
12,2022-09-30,MSFT,3576143,10017587,0.3569864679
13,2022-09-29,MSFT,2628805,8835411,0.2975305846
14,2022-09-28,MSFT,2943917,9512083,0.3094923583
15,2022-09-27,MSFT,3091745,9741340,0.3173839533
16,2022-09-26,MSFT,2532196,8648463,0.2927914475
17,2022-09-23,MSFT,3407857,14887497,0.2289073173
18,2022-09-22,MSFT,4214043,12049303,0.3497333414
19,2022-09-21,MSFT,3523536,9808230,0.3592427992
20,2022-09-20,MSFT,3043901,9629886,0.3160889963
21,2022-09-19,MSFT,3269769,10182967,0.3211017968
22,2022-09-16,MSFT,2989688,9615268,0.310931323
23,2022-09-15,MSFT,4098110,10355994,0.3957234815
24,2022-09-14,MSFT,3148537,7473511,0.4212928836
25,2022-09-13,MSFT,3531503,8160336,0.4327644107
26,2022-09-12,MSFT,2317755,5741375,0.4036933661
27,2022-09-09,MSFT,2641973,6410761,0.4121153479
28,2022-09-08,MSFT,2589761,6205792,0.4173135355
29,2022-09-06,MSFT,2928315,6935785,0.4222038313
30,2022-09-02,MSFT,2716550,6764235,0.4016049117
31,2022-09-01,MSFT,2553334,7942608,0.3214729973
32,2022-08-31,MSFT,2373984,5696157,0.4167694114
33,2022-08-30,MSFT,3417384,6914247,0.4942525195
34,2022-08-29,MSFT,2722030,6068736,0.4485332695
35,2022-08-26,MSFT,2377782,6232961,0.38148514
36,2022-08-25,MSFT,1957366,5527724,0.3540998067
37,2022-08-24,MSFT,1796794,5618652,0.3197909392
38,2022-08-23,MSFT,2366540,6081192,0.3891572573
39,2022-08-22,MSFT,2808766,7469826,0.3760149165
40,2022-08-19,MSFT,2022726,4999611,0.4045766761
41,2022-08-18,MSFT,1917698,6690618,0.2866249426
42,2022-08-16,MSFT,3275990,5723177,0.5724075981
43,2022-08-15,MSFT,3658458,6205839,0.5895186775
44,2022-08-12,MSFT,2444313,7975964,0.3064598837
45,2022-08-11,MSFT,2734837,7188403,0.380451263
46,2022-08-08,MSFT,2807097,6235235,0.4501990703
47,2022-08-05,MSFT,2302647,5428749,0.4241579414
48,2022-08-04,MSFT,3271575,6807045,0.4806160382
49,2022-08-03,MSFT,3393631,8381748,0.4048834444
50,2022-08-02,MSFT,3121617,7857136,0.3972970558
