,Date,Ticker,TrumpBeta,TrumpOdds
0,2020-10-11,MSFT,0.1067887445,0.4
1,2020-10-10,MSFT,0.1067887445,0.38
2,2020-10-09,MSFT,0.1150076715,0.37
3,2020-10-08,MSFT,0.123456572,0.36
4,2020-10-07,MSFT,0.1314594968,0.37
5,2020-10-06,MSFT,0.1395618796,0.37
6,2020-10-05,MSFT,0.1461383786,0.39
7,2020-10-04,MSFT,0.1461383786,0.38
8,2020-10-03,MSFT,0.1461383786,0.36
9,2020-10-02,MSFT,0.1527133682,0.39
10,2020-10-01,MSFT,0.1580900484,0.41
11,2020-09-30,MSFT,0.1622904182,0.42
12,2020-09-29,MSFT,0.1642677007,0.44
13,2020-09-28,MSFT,0.1663556545,0.44
14,2020-09-27,MSFT,0.1663556545,0.46
15,2020-09-26,MSFT,0.1663556545,0.46
16,2020-09-25,MSFT,0.1675409627,0.45
17,2020-09-24,MSFT,0.1686689997,0.45
18,2020-09-23,MSFT,0.1687542342,0.46
19,2020-09-22,MSFT,0.1698994261,0.45
20,2020-09-21,MSFT,0.1709102404,0.45
21,2020-09-20,MSFT,0.1709102404,0.45
22,2020-09-19,MSFT,0.1709102404,0.45
23,2020-09-18,MSFT,0.1725359877,0.44
24,2020-09-17,MSFT,0.1733646746,0.45
25,2020-09-16,MSFT,0.1750633471,0.44
26,2020-09-15,MSFT,0.1770228693,0.44
27,2020-09-14,MSFT,0.1788076601,0.44
28,2020-09-12,MSFT,0.1788076601,0.43
29,2020-09-11,MSFT,0.1816886357,0.43
30,2020-09-10,MSFT,0.1847850258,0.43
31,2020-09-09,MSFT,0.1882042094,0.43
32,2020-09-08,MSFT,0.1901273541,0.44
33,2020-09-07,MSFT,0.1901273541,0.43
34,2020-09-06,MSFT,0.1901273541,0.45
35,2020-09-05,MSFT,0.1901273541,0.44
36,2020-09-04,MSFT,0.1925972225,0.44
37,2020-09-03,MSFT,0.1940562438,0.45
38,2020-09-02,MSFT,0.1932926213,0.47
39,2020-09-01,MSFT,0.1925191408,0.47
40,2020-08-31,MSFT,0.1930415329,0.46
41,2020-08-29,MSFT,0.1930415329,0.47
42,2020-08-28,MSFT,0.1936699664,0.46
43,2020-08-26,MSFT,0.1941056285,0.46
44,2020-08-25,MSFT,0.1968586564,0.44
45,2020-08-24,MSFT,0.1994482538,0.44
46,2020-08-23,MSFT,0.1994482538,0.43
47,2020-08-22,MSFT,0.1994482538,0.42
48,2020-08-21,MSFT,0.2034855266,0.43
49,2020-08-20,MSFT,0.207922817,0.43
50,2020-08-19,MSFT,0.2106097201,0.44
51,2020-08-18,MSFT,0.2110428941,0.46
52,2020-08-17,MSFT,0.213755135,0.44
53,2020-08-16,MSFT,0.213755135,0.43
54,2020-08-15,MSFT,0.213755135,0.43
55,2020-08-14,MSFT,0.2164299617,0.44
56,2020-08-13,MSFT,0.2203238578,0.43
57,2020-08-12,MSFT,0.224294398,0.43
58,2020-08-10,MSFT,0.225932162,0.45
59,2020-08-09,MSFT,0.225932162,0.44
60,2020-08-08,MSFT,0.225932162,0.43
61,2020-08-05,MSFT,0.2326735744,0.42
62,2020-08-04,MSFT,0.2415947432,0.41
63,2020-08-01,MSFT,0.2415947432,0.4
64,2020-07-31,MSFT,0.2507278185,0.4
65,2020-07-29,MSFT,0.2600493207,0.4
66,2020-07-28,MSFT,0.26971952,0.4
67,2020-07-27,MSFT,0.2797820074,0.4
68,2020-07-26,MSFT,0.2797820074,0.4
69,2020-07-25,MSFT,0.2797820074,0.4
70,2020-07-24,MSFT,0.2897437606,0.4
71,2020-07-23,MSFT,0.2982482201,0.41
72,2020-07-22,MSFT,0.3108365951,0.4
73,2020-07-19,MSFT,0.3108365951,0.38
74,2020-07-18,MSFT,0.3108365951,0.38
75,2020-07-16,MSFT,0.3224061397,0.4
76,2020-07-14,MSFT,0.3363042195,0.4
77,2020-07-13,MSFT,0.3489183001,0.41
78,2020-07-12,MSFT,0.3489183001,0.4
79,2020-07-11,MSFT,0.3489183001,0.4
80,2020-07-10,MSFT,0.3636109599,0.41
81,2020-07-09,MSFT,0.3799129518,0.41
82,2020-07-08,MSFT,0.3932019775,0.42
83,2020-07-07,MSFT,0.4108669123,0.4
84,2020-07-05,MSFT,0.4108669123,0.4
85,2020-07-04,MSFT,0.4108669123,0.4
86,2020-07-02,MSFT,0.4313830761,0.39
87,2020-07-01,MSFT,0.4553144523,0.38
88,2020-06-30,MSFT,0.4774392019,0.39
89,2020-06-29,MSFT,0.498979702,0.39
90,2020-06-28,MSFT,0.498979702,0.4
91,2020-06-27,MSFT,0.498979702,0.39
92,2020-06-26,MSFT,0.5218202265,0.39
93,2020-06-25,MSFT,0.5421193308,0.4
94,2020-06-24,MSFT,0.5546533503,0.43
95,2020-06-22,MSFT,0.5669566754,0.43
96,2020-06-21,MSFT,0.5669566754,0.43
97,2020-06-20,MSFT,0.5669566754,0.43
98,2020-06-19,MSFT,0.5756373917,0.44
99,2020-06-18,MSFT,0.5868563413,0.43
100,2020-06-17,MSFT,0.5975498477,0.43
101,2020-06-16,MSFT,0.6079137756,0.43
102,2020-06-15,MSFT,0.6159701144,0.44
103,2020-06-14,MSFT,0.6159701144,0.44
104,2020-06-10,MSFT,0.6244352512,0.44
105,2020-06-09,MSFT,0.6303832595,0.44
106,2020-06-08,MSFT,0.6340824267,0.45
107,2020-06-05,MSFT,0.6354413107,0.47
108,2020-06-04,MSFT,0.6396233989,0.45
109,2020-06-03,MSFT,0.6428429967,0.46
110,2020-06-02,MSFT,0.6466106511,0.46
111,2020-06-01,MSFT,0.6474512673,0.48
112,2020-05-31,MSFT,0.6474512673,0.5
113,2020-05-26,MSFT,0.6473670947,0.49
114,2020-05-25,MSFT,0.6473670947,0.5
115,2020-05-24,MSFT,0.6473670947,0.49
116,2020-05-23,MSFT,0.6473670947,0.5
117,2020-05-22,MSFT,0.6478416713,0.49
