,Date,ReportPeriod,Ticker,Fund,Change
0,2022-05-09 00:00:00,2022-03-31,MSFT,SCOTIA CAPITAL INC.,32810966.5601807
1,2022-05-09 00:00:00,2022-03-31,MSFT,BROWN ADVISORY INC,-124498043.494141
2,2022-05-09 00:00:00,2022-03-31,MSFT,"Parsec Financial Management, Inc.",-1227998.72027588
3,2022-05-09 00:00:00,2022-03-31,MSFT,Progressive Investment Management Corp,-283953.507751465
4,2022-05-09 00:00:00,2022-03-31,MSFT,"Beaumont Financial Partners, LLC",1909672.12487793
5,2022-05-09 00:00:00,2022-03-31,MSFT,Poplar Forest Capital LLC,0.0
6,2022-05-09 00:00:00,2022-03-31,MSFT,MEITAV DASH INVESTMENTS LTD,12200134.9133911
7,2022-05-09 00:00:00,2022-03-31,MSFT,"Marble Harbor Investment Counsel, LLC",-319717.467468262
8,2022-05-09 00:00:00,2022-03-31,MSFT,"Brown Advisory Securities, LLC",-1969175.95440674
9,2022-05-09 00:00:00,2022-03-31,MSFT,Seascape Capital Management,36072.2697143555
10,2022-05-09 00:00:00,2022-03-31,MSFT,Interactive Financial Advisors,0.0
11,2022-05-09 00:00:00,2022-03-31,MSFT,WealthTrust Axiom LLC,165870.778686523
12,2022-05-09 00:00:00,2022-03-31,MSFT,CTC LLC,321570410.553589
13,2022-05-09 00:00:00,2022-03-31,MSFT,Manchester Capital Management LLC,-55804.1095581055
14,2022-05-09 00:00:00,2022-03-31,MSFT,NOVARE CAPITAL MANAGEMENT LLC,-390937.076904297
15,2022-05-09 00:00:00,2022-03-31,MSFT,"RiverPark Advisors, LLC",-10033023.9405518
16,2022-05-09 00:00:00,2022-03-31,MSFT,"Summit Asset Management, LLC",57345.6595458984
17,2022-05-09 00:00:00,2022-03-31,MSFT,"Mitsubishi UFJ Kokusai Asset Management Co., Ltd.",113208656.313538
18,2022-05-09 00:00:00,2022-03-31,MSFT,"VISTA CAPITAL PARTNERS, INC.",8183163.9552002
19,2022-05-09 00:00:00,2022-03-31,MSFT,"First Long Island Investors, LLC",-1620169.03717041
20,2022-05-09 00:00:00,2022-03-31,MSFT,Hayek Kallen Investment Management,-301218.867614746
21,2022-05-09 00:00:00,2022-03-31,MSFT,Fiera Capital Corp,472947.536254883
22,2022-05-09 00:00:00,2022-03-31,MSFT,"Wellington Shields & Co., LLC",695855.664489746
23,2022-05-09 00:00:00,2022-03-31,MSFT,"Highlander Capital Management, LLC",0.0
24,2022-05-09 00:00:00,2022-03-31,MSFT,"Financial Advantage, Inc.",0.0
25,2022-05-09 00:00:00,2022-03-31,MSFT,Brookmont Capital Management,34530.7197265625
26,2022-04-14 18:17:19,2022-03-31,MSFT,Chesley Taft & Associates LLC,
27,2022-05-09 00:00:00,2022-03-31,MSFT,"FIRST BUSINESS FINANCIAL SERVICES, INC.",-65361.7194824219
28,2022-05-09 00:00:00,2022-03-31,MSFT,J.Safra Asset Management Corp,567290.395507812
29,2022-05-09 00:00:00,2022-03-31,MSFT,"Garrison Asset Management, LLC",-19423.5298461914
30,2022-05-09 00:00:00,2022-03-31,MSFT,Waratah Capital Advisors Ltd.,-7683085.13916016
31,2022-05-09 00:00:00,2022-03-31,MSFT,Kentucky Retirement Systems,3656864.88104248
32,2022-05-09 00:00:00,2022-03-31,MSFT,Sonen Capital LLC,-1053495.26165771
33,2022-05-09 00:00:00,2022-03-31,MSFT,Hartford Funds Management Co LLC,100200.749206543
34,2022-05-09 00:00:00,2022-03-31,MSFT,"Bank Julius Baer & Co. Ltd, Zurich",14906480.0719604
35,2022-05-09 00:00:00,2022-03-31,MSFT,Colonial Trust Advisors,-1646375.38696289
36,2022-05-09 00:00:00,2022-03-31,MSFT,Regal Investment Advisors LLC,213350.518310547
37,2022-05-09 00:00:00,2022-03-31,MSFT,"Estate Counselors, LLC",0.0
38,2022-05-09 00:00:00,2022-03-31,MSFT,Tesco Pension Investment Ltd,-93568692.8490601
39,2022-05-09 00:00:00,2022-03-31,MSFT,"SignalPoint Asset Management, LLC",86326.7993164062
40,2022-05-09 00:00:00,2022-03-31,MSFT,"Clarkston Capital Partners, LLC",-3215673.27453613
41,2022-05-09 00:00:00,2022-03-31,MSFT,Covington Investment Advisors Inc.,906739.702819824
42,2022-05-09 00:00:00,2022-03-31,MSFT,Coyle Financial Counsel LLC,38538.7496948242
