,Date,Ticker,Mentions,Rank,Sentiment
0,2020-11-25,MSFT,2,12,0.7235
1,2020-12-22,MSFT,3,18,0.5206333333
2,2020-12-23,MSFT,1,61,0.0
3,2021-01-06,MSFT,1,49,-0.2186
4,2021-01-27,MSFT,4,15,0.34135
5,2021-01-28,MSFT,1,61,-0.6518
6,2021-02-02,MSFT,1,69,0.0
7,2021-02-10,MSFT,1,111,0.7958
8,2021-02-17,MSFT,1,61,0.7717
9,2021-03-12,MSFT,1,60,0.4033
10,2021-03-22,MSFT,1,64,0.0772
11,2021-03-26,MSFT,1,66,-0.0258
12,2021-04-01,MSFT,1,82,-0.3182
13,2021-04-05,MSFT,2,32,0.8177
14,2021-04-09,MSFT,3,25,-0.1322
15,2021-04-12,MSFT,2,29,-0.0418
16,2021-04-13,MSFT,1,71,0.7964
17,2021-04-14,MSFT,2,35,0.51695
18,2021-04-15,MSFT,1,107,0.0
19,2021-04-20,MSFT,1,81,0.3612
20,2021-04-28,MSFT,1,51,0.0
21,2021-04-29,MSFT,1,39,0.9813
22,2021-05-03,MSFT,1,43,0.3257
23,2021-05-04,MSFT,1,53,0.8275
24,2021-05-05,MSFT,1,40,0.0
25,2021-06-21,MSFT,1,58,0.836
26,2021-06-23,MSFT,1,50,0.8814
27,2021-07-07,MSFT,1,92,0.0349
28,2021-07-12,MSFT,1,80,0.7986
29,2021-07-14,MSFT,4,31,0.66855
30,2021-07-18,MSFT,2,6,0.1903
31,2021-08-05,MSFT,1,73,0.7506
32,2021-08-06,MSFT,2,42,0.37195
33,2021-08-10,MSFT,1,108,-0.9376
34,2021-08-11,MSFT,1,110,0.0
35,2021-08-12,MSFT,1,109,-0.5574
36,2021-08-14,MSFT,1,39,0.969
37,2021-08-17,MSFT,1,115,0.9801
38,2021-08-19,MSFT,3,26,0.209
39,2021-08-21,MSFT,1,52,0.7577
40,2021-08-31,MSFT,1,73,0.0
41,2021-09-02,MSFT,4,22,0.001775
42,2021-09-21,MSFT,1,86,0.0
43,2021-10-05,MSFT,1,83,0.7608
44,2021-10-12,MSFT,5,15,0.4803
45,2021-10-13,MSFT,1,62,0.0195
46,2021-10-19,MSFT,2,32,0.7072
47,2021-10-21,MSFT,1,94,0.3612
48,2021-10-25,MSFT,1,126,0.34
49,2021-10-26,MSFT,6,21,0.1607666667
50,2021-10-27,MSFT,2,51,-0.1591
51,2021-10-28,MSFT,2,54,0.31245
52,2021-11-01,MSFT,1,105,0.1779
53,2021-11-04,MSFT,1,119,0.6956
54,2021-11-09,MSFT,1,131,0.5352
55,2021-11-11,MSFT,1,161,-0.1531
56,2021-11-17,MSFT,2,69,0.57715
57,2021-11-22,MSFT,1,96,0.7251
58,2021-11-29,MSFT,1,72,0.0
59,2021-12-06,MSFT,2,21,0.3174
60,2021-12-10,MSFT,3,16,-0.0336666667
61,2021-12-15,MSFT,2,37,0.4721
62,2021-12-23,MSFT,1,78,0.687
63,2021-12-27,MSFT,1,63,0.0
64,2021-12-29,MSFT,1,111,0.6926
65,2022-01-10,MSFT,1,96,0.0
66,2022-01-13,MSFT,1,109,-0.1655
67,2022-01-14,MSFT,1,102,0.2846
68,2022-01-18,MSFT,4,15,-0.228275
69,2022-01-19,MSFT,2,40,0.6954
70,2022-01-21,MSFT,1,98,0.6467
71,2022-01-24,MSFT,7,13,0.1836428571
72,2022-01-25,MSFT,5,5,0.22956
73,2022-01-26,MSFT,4,17,0.40115
74,2022-01-27,MSFT,3,22,-0.1702
75,2022-01-28,MSFT,2,40,0.8358
76,2022-01-31,MSFT,3,15,0.4129333333
77,2022-02-02,MSFT,2,30,0.3141
78,2022-02-03,MSFT,1,71,-0.5577
79,2022-02-04,MSFT,2,32,0.3692
80,2022-02-11,MSFT,1,62,0.6478
81,2022-04-21,MSFT,3,10,-0.0291666667
82,2022-04-24,MSFT,1,8,0.4404
83,2022-04-25,MSFT,1,37,-0.8313
84,2022-04-27,MSFT,1,31,0.5414
85,2022-05-04,MSFT,1,29,0.6652
86,2022-05-06,MSFT,1,38,0.9109
87,2022-05-26,MSFT,1,41,0.2732
