,Date,Ticker,Followers,pct_change_day,pct_change_week,pct_change_month
0,2022-10-19,MSFT,11703597,0.0437065179,0.3160871265,1.3745279413
1,2022-10-18,MSFT,11698484,0.0509214002,0.3188752814,1.3939575584
2,2022-10-17,MSFT,11692530,0.0496974258,0.3067659131,1.3962160252
3,2022-10-16,MSFT,11686722,0.0498677456,0.3005999899,1.418099487
4,2022-10-15,MSFT,11680897,0.0376482647,0.2948596993,1.4354180416
5,2022-10-14,MSFT,11676501,0.0379538473,0.3011051546,1.4554972166
6,2022-10-13,MSFT,11672071,0.0458655046,0.3049692509,1.4742717079
7,2022-10-12,MSFT,11666720,0.0464871023,0.3045835059,1.4966658933
8,2022-10-11,MSFT,11661299,0.0388443764,0.3056228199,1.5197537959
9,2022-10-10,MSFT,11656771,0.0435473047,0.3266079533,1.5441866575
10,2022-10-09,MSFT,11651697,0.0441418047,0.3430370869,1.5658209747
11,2022-10-08,MSFT,11646556,0.0438777032,0.3605949653,1.5740522868
12,2022-10-07,MSFT,11641448,0.0418078056,0.3655645473,1.5933688377
13,2022-10-06,MSFT,11636583,0.0454807561,0.4041677894,1.6194105356
14,2022-10-05,MSFT,11631293,0.0475237421,0.4267186191,1.6517490591
15,2022-10-04,MSFT,11625768,0.0597736965,0.4233829275,1.6745945747
16,2022-10-03,MSFT,11618823,0.0599300853,0.4247914981,1.6770181498
17,2022-10-02,MSFT,11611864,0.0616473828,0.4199404928,1.6739713949
18,2022-10-01,MSFT,11604710,0.0488316022,0.4190099797,1.6730519465
19,2022-09-30,MSFT,11599046,0.0802865224,0.4170246482,1.688242566
20,2022-09-29,MSFT,11589741,0.0679510245,0.3883270106,1.6982317011
21,2022-09-28,MSFT,11581871,0.0442006455,0.3832408217,1.6971192139
22,2022-09-27,MSFT,11576754,0.0611771669,0.3922204565,1.7015182812
23,2022-09-26,MSFT,11569676,0.0550967046,0.4023670282,1.6871486608
24,2022-09-25,MSFT,11563305,0.0607201897,0.4142641287,1.6817272652
25,2022-09-24,MSFT,11556288,0.0468535893,0.4109831377,1.6680678376
26,2022-09-23,MSFT,11550876,0.0516851194,0.4206305537,1.7050460368
27,2022-09-22,MSFT,11544909,0.0628810675,0.4369498489,1.7013461154
28,2022-09-21,MSFT,11537654,0.053149952,0.4433376987,1.6831543205
29,2022-09-20,MSFT,11531525,0.0712902803,0.4531466772,1.6824410858
