,Date,Ticker,Mentions,Rank,Sentiment
0,2018-08-01,MSFT,8,5,0.0475625
1,2018-08-02,MSFT,17,2,-0.2834529412
2,2018-08-03,MSFT,7,8,0.3207428571
3,2018-08-06,MSFT,7,4,0.093
4,2018-08-07,MSFT,9,6,0.1835888889
5,2018-08-08,MSFT,6,7,0.1845
6,2018-08-09,MSFT,7,9,0.0390428571
7,2018-08-10,MSFT,9,3,0.2322
8,2018-08-13,MSFT,4,15,-0.146375
9,2018-08-14,MSFT,16,3,0.0924875
10,2018-08-15,MSFT,8,7,0.096775
11,2018-08-16,MSFT,19,3,-0.2172
12,2018-08-17,MSFT,33,1,0.2437484848
13,2018-08-20,MSFT,18,4,-0.1098222222
14,2018-08-21,MSFT,22,2,-0.0259909091
15,2018-08-22,MSFT,19,2,0.0092421053
16,2018-08-23,MSFT,12,5,0.0023333333
17,2018-08-24,MSFT,13,7,0.1254307692
18,2018-08-25,MSFT,1,5,0.6808
19,2018-08-27,MSFT,12,7,0.291025
20,2018-08-28,MSFT,13,3,-0.0274153846
21,2018-08-29,MSFT,21,5,0.0471285714
22,2018-08-30,MSFT,21,9,0.1066428571
23,2018-08-31,MSFT,25,5,0.122832
24,2018-09-01,MSFT,2,2,0.28595
25,2018-09-04,MSFT,30,4,0.05618
26,2018-09-05,MSFT,38,5,0.1340368421
27,2018-09-06,MSFT,45,5,0.0922622222
28,2018-09-07,MSFT,21,7,0.0655809524
29,2018-09-09,MSFT,1,7,0.2755
30,2018-09-10,MSFT,32,4,0.09840625
31,2018-09-11,MSFT,45,5,0.14008
32,2018-09-12,MSFT,20,7,0.036645
33,2018-09-13,MSFT,30,6,0.3388533333
34,2018-09-14,MSFT,25,5,0.197396
35,2018-09-17,MSFT,22,9,0.1415590909
36,2018-09-18,MSFT,27,8,0.1651481481
37,2018-09-19,MSFT,77,3,0.0771662338
38,2018-09-20,MSFT,63,4,0.2294809524
39,2018-09-21,MSFT,47,3,0.1860468085
40,2018-09-22,MSFT,2,6,0.1976
41,2018-09-23,MSFT,1,8,0.0
42,2018-09-24,MSFT,57,1,0.1033421053
43,2018-09-25,MSFT,48,4,0.11934375
44,2018-09-26,MSFT,27,7,0.1374925926
45,2018-09-27,MSFT,17,11,0.1401647059
46,2018-09-28,MSFT,59,2,0.1281542373
47,2018-09-29,MSFT,7,2,0.3434857143
48,2018-09-30,MSFT,1,32,0.9777
49,2018-10-01,MSFT,46,6,0.2913478261
50,2018-10-02,MSFT,49,6,0.1647510204
51,2018-10-03,MSFT,46,5,0.1621695652
52,2018-10-04,MSFT,177,1,0.0304214689
53,2018-10-05,MSFT,127,2,0.0827582677
54,2018-10-06,MSFT,7,2,-0.1073285714
55,2018-10-07,MSFT,2,6,-0.31845
56,2018-10-08,MSFT,93,1,-0.0903752688
57,2018-10-09,MSFT,50,2,0.094948
58,2018-10-10,MSFT,94,2,0.062243617
59,2018-10-11,MSFT,57,5,0.0731333333
60,2018-10-12,MSFT,44,6,0.0220068182
61,2018-10-13,MSFT,8,3,0.3093
62,2018-10-14,MSFT,2,6,-0.20695
63,2018-10-15,MSFT,29,7,-0.0753482759
64,2018-10-16,MSFT,31,5,0.1333677419
65,2018-10-17,MSFT,20,7,0.03042
66,2018-10-18,MSFT,33,5,0.0616030303
67,2018-10-19,MSFT,41,3,0.1135878049
68,2018-10-20,MSFT,1,10,-0.1027
69,2018-10-22,MSFT,51,1,0.1354372549
70,2018-10-23,MSFT,113,1,0.0334530973
71,2018-10-24,MSFT,314,1,0.0532703822
72,2018-10-25,MSFT,122,1,-0.0097139344
73,2018-10-26,MSFT,46,6,0.103773913
74,2018-10-29,MSFT,46,4,0.0243891304
75,2018-10-30,MSFT,96,2,-0.0124322917
76,2018-10-31,MSFT,34,5,0.0896411765
77,2018-11-01,MSFT,63,4,0.0182333333
78,2018-11-02,MSFT,32,6,-0.096246875
79,2018-11-03,MSFT,4,14,0.4923
80,2018-11-05,MSFT,31,6,0.1519451613
81,2018-11-06,MSFT,23,5,0.0355913043
82,2018-11-07,MSFT,36,4,0.1254805556
83,2018-11-08,MSFT,8,20,0.18655
84,2018-11-09,MSFT,9,19,0.0196555556
85,2018-11-12,MSFT,5,23,-0.34442
86,2018-11-13,MSFT,5,22,0.03606
87,2018-11-14,MSFT,6,21,-0.1817833333
88,2018-11-15,MSFT,9,16,0.0367444444
89,2018-11-16,MSFT,10,17,0.22227
90,2018-11-19,MSFT,21,8,0.021
91,2018-11-20,MSFT,11,20,-0.1608
92,2018-11-21,MSFT,3,27,-0.2053
93,2018-11-23,MSFT,3,19,0.2807666667
94,2018-11-24,MSFT,2,31,-0.7891
95,2018-11-25,MSFT,2,15,-0.4215
96,2018-11-26,MSFT,12,13,0.0567
97,2018-11-27,MSFT,9,13,0.0456888889
98,2018-11-28,MSFT,26,5,-0.0247153846
99,2018-11-29,MSFT,9,13,0.1850111111
100,2018-11-30,MSFT,8,20,0.077975
101,2018-12-01,MSFT,1,46,0.4939
102,2018-12-02,MSFT,2,18,0.21645
103,2018-12-03,MSFT,19,13,0.0095
104,2018-12-04,MSFT,8,21,-0.0720375
105,2018-12-06,MSFT,8,19,0.1226875
106,2018-12-07,MSFT,5,30,0.25176
107,2018-12-08,MSFT,2,25,0.15595
108,2018-12-10,MSFT,6,24,-0.0685333333
109,2018-12-11,MSFT,10,15,-0.02165
110,2018-12-12,MSFT,5,22,-0.15122
111,2018-12-13,MSFT,5,24,-0.01554
112,2018-12-14,MSFT,8,19,0.0197125
113,2018-12-15,MSFT,1,41,0.6124
114,2018-12-17,MSFT,39,4,0.0707076923
115,2018-12-18,MSFT,30,8,-0.07199
116,2018-12-19,MSFT,42,6,0.0999166667
117,2018-12-20,MSFT,34,6,0.0147676471
118,2018-12-21,MSFT,55,5,-0.03568
119,2018-12-22,MSFT,1,55,-0.2332
120,2018-12-24,MSFT,18,9,0.0644555556
121,2018-12-25,MSFT,4,13,-0.02975
122,2018-12-26,MSFT,19,10,-0.1447052632
123,2018-12-27,MSFT,5,21,-0.0927
124,2018-12-28,MSFT,20,11,-0.0842
125,2018-12-29,MSFT,4,6,-0.061075
126,2018-12-30,MSFT,1,24,0.7184
127,2018-12-31,MSFT,7,11,-0.1812
128,2019-01-02,MSFT,9,17,0.1360222222
129,2019-01-03,MSFT,14,12,-0.1001428571
130,2019-01-04,MSFT,31,11,-0.0549419355
131,2019-01-05,MSFT,4,16,-0.02995
132,2019-01-06,MSFT,2,30,0.6124
133,2019-01-07,MSFT,9,17,0.3052555556
134,2019-01-08,MSFT,5,25,-0.54248
135,2019-01-09,MSFT,1,110,0.0
136,2019-01-10,MSFT,6,26,0.1233166667
137,2019-01-11,MSFT,20,12,0.236405
138,2019-01-12,MSFT,14,2,0.3145142857
139,2019-01-13,MSFT,6,10,-0.0220333333
140,2019-01-14,MSFT,9,24,0.1225111111
141,2019-01-15,MSFT,12,21,0.1111166667
142,2019-01-16,MSFT,12,14,0.1117333333
143,2019-01-17,MSFT,12,16,-0.0327333333
144,2019-01-18,MSFT,15,17,0.0809866667
145,2019-01-21,MSFT,2,12,0.5313
146,2019-01-22,MSFT,9,15,-0.0512222222
147,2019-01-23,MSFT,8,16,0.1089125
148,2019-01-24,MSFT,12,15,-0.032
