,Date,Ticker,Views,pct_change_week,pct_change_month
0,2016-10-17,MSFT,48.0,-6.25,2.0833333333
1,2016-10-24,MSFT,45.0,-6.25,2.0833333333
2,2016-10-31,MSFT,45.0,0.0,2.0833333333
3,2016-11-07,MSFT,41.0,-8.8888888889,2.0833333333
4,2016-11-14,MSFT,49.0,19.512195122,2.0833333333
5,2016-11-21,MSFT,43.0,-12.2448979592,-4.4444444444
6,2016-11-28,MSFT,63.0,46.511627907,40.0
7,2016-12-05,MSFT,52.0,-17.4603174603,26.8292682927
8,2016-12-12,MSFT,44.0,-15.3846153846,-10.2040816327
9,2016-12-19,MSFT,39.0,-11.3636363636,-9.3023255814
10,2016-12-26,MSFT,31.0,-20.5128205128,-50.7936507937
11,2017-01-02,MSFT,23.0,-25.8064516129,-55.7692307692
12,2017-01-09,MSFT,60.0,160.8695652174,36.3636363636
13,2017-01-16,MSFT,38.0,-36.6666666667,-2.5641025641
14,2017-01-23,MSFT,47.0,23.6842105263,51.6129032258
15,2017-01-30,MSFT,41.0,-12.7659574468,78.2608695652
16,2017-02-06,MSFT,58.0,41.4634146341,-3.3333333333
17,2017-02-13,MSFT,57.0,-1.724137931,50.0
18,2017-02-20,MSFT,59.0,3.5087719298,25.5319148936
19,2017-02-27,MSFT,46.0,-22.0338983051,12.1951219512
20,2017-03-06,MSFT,36.0,-21.7391304348,-37.9310344828
21,2017-03-13,MSFT,234.0,550.0,310.5263157895
22,2017-03-20,MSFT,48.0,-79.4871794872,-18.6440677966
23,2017-03-27,MSFT,81.0,68.75,76.0869565217
24,2017-04-03,MSFT,86.0,6.1728395062,138.8888888889
25,2017-04-10,MSFT,81.0,-5.8139534884,-65.3846153846
26,2017-04-17,MSFT,116.0,43.2098765432,141.6666666667
27,2017-04-24,MSFT,62.0,-46.5517241379,-23.4567901235
28,2017-05-01,MSFT,61.0,-1.6129032258,-29.0697674419
29,2017-05-08,MSFT,52.0,-14.7540983607,-35.8024691358
30,2017-05-15,MSFT,49.0,-5.7692307692,-57.7586206897
31,2017-05-22,MSFT,50.0,2.0408163265,-19.3548387097
32,2017-05-29,MSFT,56.0,12.0,-8.1967213115
33,2017-06-05,MSFT,45.0,-19.6428571429,-13.4615384615
34,2017-06-12,MSFT,57.0,26.6666666667,16.3265306122
35,2017-06-19,MSFT,27.0,-52.6315789474,-46.0
36,2017-06-26,MSFT,39.0,44.4444444444,-30.3571428571
37,2017-07-03,MSFT,106.0,171.7948717949,135.5555555556
