,ReportDate,TransactionDate,Ticker,Representative,Transaction,Amount,House,Range
0,2022-10-18,2022-09-30,COIN,Garret Graves,Purchase,1001.0,Representatives,"$1,001-$15,000"
1,2022-10-17,2022-09-23,AORT,Tina Smith,Purchase,50001.0,Senate,"$50,001 - $100,000"
2,2022-10-16,2022-09-15,BHP,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
3,2022-10-16,2022-09-26,ADP,Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
4,2022-10-16,2022-09-21,PCTY,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
5,2022-10-16,2022-09-15,CVET,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
6,2022-10-16,2022-09-15,STAG,Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
7,2022-10-16,2022-09-15,VZ,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
8,2022-10-16,2022-09-15,CRM,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
9,2022-10-16,2022-09-15,CTSH,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
10,2022-10-16,2022-09-15,TWKS,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
11,2022-10-16,2022-09-27,FLYW,Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
12,2022-10-16,2022-09-15,MDB,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
13,2022-10-16,2022-09-15,NVDA,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
14,2022-10-16,2022-09-14,BX,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
15,2022-10-16,2022-09-14,ABMD,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
16,2022-10-16,2022-09-01,SAP,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
17,2022-10-16,2022-09-12,REGN,Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
18,2022-10-16,2022-09-12,DE,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
19,2022-10-16,2022-09-27,MGY,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
20,2022-10-16,2022-09-15,FIS,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
21,2022-10-16,2022-09-28,DXCM,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
22,2022-10-16,2022-09-28,ORCL,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
23,2022-10-16,2022-09-28,HCA,Josh Gottheimer,Sale,1001.0,Representatives,"$1,001-$15,000"
24,2022-10-16,2022-09-28,ALNY,Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
25,2022-10-16,2022-09-28,UNH,Josh Gottheimer,Purchase,1001.0,Representatives,"$1,001-$15,000"
26,2022-10-14,2022-09-27,SCI,Alan S. Lowenthal,Purchase,1001.0,Representatives,"$1,001-$15,000"
27,2022-10-14,2022-09-16,GOOG,Nancy Pelosi,Purchase,1000001.0,Representatives,"$1,000,001-$5,000,000"
28,2022-10-12,2022-09-14,NUE,Virginia Foxx,Purchase,50001.0,Representatives,"$50,001-$100,000"
29,2022-10-12,2022-09-29,GPP,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
30,2022-10-12,2022-09-16,USDP,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
31,2022-10-12,2022-09-16,CF,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
32,2022-10-12,2022-09-16,AAM$A,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
33,2022-10-12,2022-09-07,NFG,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
34,2022-10-12,2022-09-30,IMKTA,Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
35,2022-10-12,2022-09-12,CF,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
36,2022-10-12,2022-09-07,CF,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
37,2022-10-12,2022-09-06,NU,Tommy Tuberville,Purchase,1001.0,Senate,"$1,001 - $15,000"
38,2022-10-12,2022-09-01,NEWT,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
39,2022-10-12,2022-09-15,GOGL,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
40,2022-10-12,2022-09-06,NEWT,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
41,2022-10-12,2022-09-01,AA,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
42,2022-10-12,2022-09-30,NFG,Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
43,2022-10-12,2022-09-19,DUK$A,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
44,2022-10-12,2022-09-29,GOGL,Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
45,2022-10-12,2022-09-01,GPP,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
46,2022-10-12,2022-09-01,NHI,Virginia Foxx,Sale,50001.0,Representatives,"$50,001-$100,000"
47,2022-10-12,2022-09-01,CF,Virginia Foxx,Purchase,15001.0,Representatives,"$15,001-$50,000"
48,2022-10-12,2022-09-01,SJT,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
49,2022-10-12,2022-09-27,NEWT,Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
50,2022-10-12,2022-09-28,AA,Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
51,2022-10-12,2022-09-12,F,Tommy Tuberville,Sale,15001.0,Senate,"$15,001 - $50,000"
52,2022-10-12,2022-09-21,ABT,David B. Mckinley,Sale,1001.0,Representatives,"$1,001-$15,000"
53,2022-10-12,2022-09-19,ARKK,Tommy Tuberville,Purchase,1001.0,Senate,"$1,001 - $15,000"
54,2022-10-12,2022-09-19,MSFT,Tommy Tuberville,Purchase,250001.0,Senate,"$250,001 - $500,000"
55,2022-10-12,2022-09-26,SJT,Virginia Foxx,Sale,15001.0,Representatives,"$15,001-$50,000"
56,2022-10-12,2022-09-19,X,Tommy Tuberville,Purchase,100001.0,Senate,"$100,001 - $250,000"
57,2022-10-12,2022-09-23,GPP,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
58,2022-10-12,2022-09-23,AAM$A,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
59,2022-10-12,2022-09-07,ARKK,Tommy Tuberville,Purchase,50001.0,Senate,"$50,001 - $100,000"
60,2022-10-12,2022-09-12,F,Tommy Tuberville,Purchase,1001.0,Senate,"$1,001 - $15,000"
61,2022-10-12,2022-09-20,X,Tommy Tuberville,Sale,1001.0,Senate,"$1,001 - $15,000"
62,2022-10-12,2022-09-20,MSFT,Tommy Tuberville,Sale,1001.0,Senate,"$1,001 - $15,000"
63,2022-10-12,2022-09-21,TSLA,David B. Mckinley,Purchase,1001.0,Representatives,"$1,001-$15,000"
64,2022-10-12,2022-09-21,GWW,David B. Mckinley,Purchase,1001.0,Representatives,"$1,001-$15,000"
65,2022-10-12,2022-09-21,SWK,David B. Mckinley,Sale,1001.0,Representatives,"$1,001-$15,000"
66,2022-10-12,2022-09-21,CNC,David B. Mckinley,Purchase,1001.0,Representatives,"$1,001-$15,000"
67,2022-10-12,2022-09-20,NEWT,Virginia Foxx,Purchase,1001.0,Representatives,"$1,001-$15,000"
68,2022-10-12,2022-09-21,AJG,David B. Mckinley,Purchase,1001.0,Representatives,"$1,001-$15,000"
69,2022-10-12,2022-09-07,ECOM,Tommy Tuberville,Sale,500001.0,Senate,"$500,001 - $1,000,000"
70,2022-10-12,2022-09-21,KMX,David B. Mckinley,Sale,1001.0,Representatives,"$1,001-$15,000"
71,2022-10-12,2022-09-21,SPGI,David B. Mckinley,Sale,1001.0,Representatives,"$1,001-$15,000"
72,2022-10-12,2022-09-12,F,Tommy Tuberville,Purchase,1001.0,Senate,"$1,001 - $15,000"
73,2022-10-11,2022-09-12,AVGO,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
74,2022-10-11,2022-09-12,AMZN,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
75,2022-10-11,2022-09-12,ISRG,Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
76,2022-10-11,2022-09-09,HD,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
77,2022-10-11,2022-09-12,PG,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
78,2022-10-11,2022-09-12,T,Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
79,2022-10-11,2022-09-12,LMT,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
80,2022-10-11,2022-09-12,PFE,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
81,2022-10-11,2022-09-13,CSCO,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
82,2022-10-11,2022-09-12,MRK,Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
83,2022-10-11,2022-09-12,LMT,Scott Franklin,Purchase,50001.0,Representatives,"$50,001-$100,000"
84,2022-10-11,2022-09-12,ABBV,Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
85,2022-10-11,2022-09-12,CHTR,Kathy Manning,Purchase,1001.0,Representatives,"$1,001-$15,000"
86,2022-10-11,2022-09-12,MSFT,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
87,2022-10-11,2022-09-12,JNJ,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
88,2022-10-11,2022-09-09,BAC,Zoe Lofgren,Purchase,1001.0,Representatives,"$1,001-$15,000"
89,2022-10-11,2022-09-13,WMT,Scott Franklin,Purchase,15001.0,Representatives,"$15,001-$50,000"
90,2022-10-11,2022-09-13,MSFT,Scott Franklin,Purchase,15001.0,Representatives,"$15,001-$50,000"
91,2022-10-11,2022-09-12,TSLA,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
92,2022-10-11,2022-09-09,BUD,Zoe Lofgren,Purchase,1001.0,Representatives,"$1,001-$15,000"
93,2022-10-11,2022-09-09,SBUX,Scott Franklin,Purchase,15001.0,Representatives,"$15,001-$50,000"
94,2022-10-11,2022-09-09,PWR,Zoe Lofgren,Purchase,1001.0,Representatives,"$1,001-$15,000"
95,2022-10-11,2022-09-09,GILD,Zoe Lofgren,Purchase,1001.0,Representatives,"$1,001-$15,000"
96,2022-10-11,2022-09-09,SBUX,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
97,2022-10-11,2022-09-13,ONEQ,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
98,2022-10-11,2022-09-09,BDX,Zoe Lofgren,Purchase,1001.0,Representatives,"$1,001-$15,000"
99,2022-10-11,2022-09-09,HD,Scott Franklin,Purchase,15001.0,Representatives,"$15,001-$50,000"
100,2022-10-11,2022-09-13,IVW,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
101,2022-10-11,2022-09-13,MDT,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
102,2022-10-11,2022-09-13,WMT,Scott Franklin,Purchase,1001.0,Representatives,"$1,001-$15,000"
103,2022-10-11,2022-09-13,CSCO,Scott Franklin,Purchase,15001.0,Representatives,"$15,001-$50,000"
104,2022-10-11,2022-09-13,MDT,Scott Franklin,Purchase,15001.0,Representatives,"$15,001-$50,000"
105,2022-10-11,2022-09-12,CMCSA,Kathy Manning,Sale,1001.0,Representatives,"$1,001-$15,000"
106,2022-10-10,2022-09-09,XOM,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
107,2022-10-10,2022-09-09,EMR,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
108,2022-10-10,2022-09-20,UNH,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
109,2022-10-10,2022-09-27,VZ,Pete Sessions,Purchase,1001.0,Representatives,"$1,001-$15,000"
110,2022-10-10,2022-09-12,ROK,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
111,2022-10-10,2022-09-26,WMB,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
112,2022-10-10,2022-09-30,DVN,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
113,2022-10-10,2022-09-30,DGRO,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
114,2022-10-10,2022-09-15,HD,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
115,2022-10-10,2022-09-30,DVN,Kevin Hern,Purchase,15001.0,Representatives,"$15,001-$50,000"
116,2022-10-10,2022-09-15,NEE,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
117,2022-10-10,2022-09-21,MCD,Pete Sessions,Purchase,1001.0,Representatives,"$1,001-$15,000"
118,2022-10-10,2022-09-16,PXD,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
119,2022-10-10,2022-09-16,PXD,Kevin Hern,Purchase,15001.0,Representatives,"$15,001-$50,000"
120,2022-10-10,2022-09-07,JEPI,Kevin Hern,Purchase,1001.0,Representatives,"$1,001-$15,000"
121,2022-10-08,2022-09-23,SCI,Alan S. Lowenthal,Purchase,1001.0,Representatives,"$1,001-$15,000"
122,2022-10-06,2022-09-28,GNRC,James R. Langevin,Sale,15001.0,Representatives,"$15,001-$50,000"
123,2022-10-06,2022-09-28,SQ,James R. Langevin,Sale,1001.0,Representatives,"$1,001-$15,000"
124,2022-10-05,2022-09-30,ALK,Earl Blumenauer,Purchase,1001.0,Representatives,"$1,001-$15,000"
125,2022-10-05,2022-09-15,IFF,Robert J. Wittman,Sale,1001.0,Representatives,"$1,001-$15,000"
126,2022-10-05,2022-09-28,NEM,Earl Blumenauer,Purchase,1001.0,Representatives,"$1,001-$15,000"
127,2022-10-05,2022-09-27,WRK,Robert J. Wittman,Sale,1001.0,Representatives,"$1,001-$15,000"
