,Ticker,Date,DepartureCity,ArrivalCity
0,GOLD,2022-10-17,Riyadh,
1,XEC,2022-10-17,Washington,
2,BNS,2022-10-17,Montréal,
3,COST,2022-10-17,St Louis,Newark
4,LNC,2022-10-17,Chicago,Philadelphia
5,ROK,2022-10-17,Green Bay,
6,ROK,2022-10-17,Green Bay,Milwaukee
7,ROK,2022-10-17,,Green Bay
8,GLW,2022-10-17,Corning,
9,GLW,2022-10-17,Elmira,West Palm Beach
10,GLW,2022-10-17,Elmira,Morristown
11,ENB,2022-10-17,Calgary,
12,OC,2022-10-17,Columbus,Toledo
13,TGT,2022-10-17,New Haven,
14,TGT,2022-10-17,New Haven,Washington
15,DGX,2022-10-17,Reading,Reading
16,SENEA,2022-10-17,Penn Yan,
17,SENEA,2022-10-17,Penn Yan,Janesville
18,JNJ,2022-10-17,Trenton,Oakland
19,TGT,2022-10-17,Newark,Minneapolis
20,RF,2022-10-17,Atlanta,
21,RF,2022-10-17,Atlanta,Concord
22,SWK,2022-10-17,Las Vegas,
23,SWK,2022-10-17,Las Vegas,Alton/St Louis
24,LNC,2022-10-17,Waukesha,Chicago
25,GLW,2022-10-17,,Elmira/Corning
26,WIRE,2022-10-17,,Elroy
27,OC,2022-10-17,Chicago,Toledo
28,D,2022-10-17,Chattanooga,Richmond
29,RF,2022-10-17,,Atlanta
30,XEC,2022-10-17,Washington,Islip
31,OC,2022-10-17,,Santa Ana
32,OC,2022-10-17,Archbold,
33,GD,2022-10-17,,Washington
34,VALE,2022-10-17,,Rio De Janeiro
35,GD,2022-10-17,Washington,
36,GD,2022-10-17,Washington,St Petersburg-Clearwater
37,OC,2022-10-17,,Chicago
38,XOM,2022-10-17,,Shannon
39,BK,2022-10-17,Teterboro,Napa
40,TGT,2022-10-17,Teterboro,New Haven
41,RF,2022-10-17,New Orleans,
42,XEC,2022-10-17,Syracuse,Washington
43,CCK,2022-10-17,,
44,TXN,2022-10-17,Salt Lake City,
45,TXN,2022-10-17,Salt Lake City,Dallas
46,D,2022-10-17,Richmond,Chattanooga
47,MUR,2022-10-17,Las Vegas,
48,MUR,2022-10-17,Las Vegas,Teterboro
49,GLW,2022-10-17,Elmira,Paris
50,GLW,2022-10-17,Raleigh/Durham,Elmira
51,MGA,2022-10-17,Graz,
52,MGA,2022-10-17,Graz,Munich
53,GEO,2022-10-17,Miami,
54,GEO,2022-10-17,Miami,Orlando
55,RF,2022-10-17,,New Orleans
56,OC,2022-10-17,,Columbus
57,TGT,2022-10-17,Toronto,Teterboro
58,APC,2022-10-17,Morristown,
59,APC,2022-10-17,Morristown,Kansas City
60,JNJ,2022-10-17,Berlin,Trenton
61,GD,2022-10-17,Washington,Mystic
62,GLW,2022-10-17,Charlotte,Tioga
63,SWK,2022-10-17,Pontiac,Las Vegas
64,GLW,2022-10-17,Elmira,Raleigh/Durham
65,STT,2022-10-17,,
66,STT,2022-10-17,,Bridgeport
67,DUK,2022-10-17,Charlotte,Washington
68,GLW,2022-10-17,Washington,Tioga
69,TGT,2022-10-17,Minneapolis,Chicago
70,COST,2022-10-17,Chicago/Aurora,St Louis
71,SENEA,2022-10-17,Janesville,Penn Yan
72,ROK,2022-10-17,Green Bay,
73,GT,2022-10-17,,Nashville
74,DUK,2022-10-17,,Indianapolis
75,HUM,2022-10-17,St Petersburg-Clearwater,Louisville
76,TXN,2022-10-17,Dallas,Salt Lake City
77,GLW,2022-10-17,Morristown,Erin
78,SWK,2022-10-17,Leesburg,Pontiac
79,GLW,2022-10-17,Elmira,Charlotte
80,GLW,2022-10-17,Bedford,Spencer
81,ROK,2022-10-17,Milwaukee,De Pere
82,GLW,2022-10-17,Elmira,Washington
83,BNS,2022-10-17,Montréal,
84,BNS,2022-10-17,Montréal,Toronto
85,STT,2022-10-17,Bridgeport,
86,GLW,2022-10-17,Elmira,Morristown
87,GEO,2022-10-17,Bogota,Miami
88,GLW,2022-10-17,Elmira,Bedford
89,APC,2022-10-17,Kansas City,Morristown
90,GOLD,2022-10-17,,Dubai
91,BNS,2022-10-16,,Montréal
92,DGX,2022-10-16,Manassas,Reading
93,QEP,2022-10-16,Seattle,
94,QEP,2022-10-16,Seattle,
95,UAA,2022-10-16,Salt Lake City,Baltimore
96,UAA,2022-10-16,Salt Lake City,
97,BNS,2022-10-16,Toronto,Montréal
98,DGX,2022-10-16,Niagara Falls,Manassas
99,GLW,2022-10-16,Charlotte,Lawrenceville
