,Ticker,Date,Description,Agency,Amount
0,WBA,2022-10-19,EMERGENCY GALAFOLD (MIGALASTAT),DEPARTMENT OF VETERANS AFFAIRS (VA),18888.46
1,UPS,2022-10-19,UPS DISASTER SHIPPING,DEPARTMENT OF HOMELAND SECURITY (DHS),3000.0
2,UPS,2022-10-19,THE PURPOSE OF THIS FIRM FIXED PRICE (FFP) AMENDMENT 0001 IS TO ISSUE A REQUEST FOR QUOTE (RFQ) FOR DOMESTIC EXPRESS MAIL TRANSPORTATION DELIVERY SERVICE IN SUPPORT OF FEMA REGION IV & FEMA FRC.,DEPARTMENT OF HOMELAND SECURITY (DHS),2250.0
3,UPS,2022-10-19,REGIONAL UPS ACCOUNT,DEPARTMENT OF HOMELAND SECURITY (DHS),2500.0
4,UNF,2022-10-19,UNIFIRST - 6-MONTH EXTENSION EFF 10/01/22 - 03/31/23 - FLORENCE NC.,DEPARTMENT OF VETERANS AFFAIRS (VA),2356.96
5,T,2022-10-19,FIRSTNET MOBILE SERVICE,DEPARTMENT OF JUSTICE (DOJ),12600.0
6,T,2022-10-19,"ORDER 100 IPHONES WITH CASE & CHARGER, 100 IPADS, 100 IPHONE LINES OF SERVICE AND 100 IPAD LINES OF SERVICE IN SUPPORT OF DR-4673-FL",DEPARTMENT OF HOMELAND SECURITY (DHS),37208.0
7,ODP,2022-10-19,PAPER 8.5X11,GENERAL SERVICES ADMINISTRATION (GSA),391.67
8,ODP,2022-10-19,HAND SOAP,GENERAL SERVICES ADMINISTRATION (GSA),84.26
9,ODP,2022-10-19,"LUBRICANT,SHREDDER,4 FL OZ",GENERAL SERVICES ADMINISTRATION (GSA),348.77
10,ODP,2022-10-19,APPOINTMENT BOOK 2023,GENERAL SERVICES ADMINISTRATION (GSA),1568.16
11,ODP,2022-10-19,"PLATE,PAPER,10"" ,3COMPARTMENT,STANDARD PK",GENERAL SERVICES ADMINISTRATION (GSA),157.38
12,ODP,2022-10-19,"CARD,IJ,BIZ,OD,300PK,IVOR",GENERAL SERVICES ADMINISTRATION (GSA),9.25
13,ODP,2022-10-19,ASPEN COPY PAPER,GENERAL SERVICES ADMINISTRATION (GSA),1786.38
14,ODP,2022-10-19,INK AND TONER,GENERAL SERVICES ADMINISTRATION (GSA),90.37
15,ODP,2022-10-19,ASPEN COPY PAPER,GENERAL SERVICES ADMINISTRATION (GSA),47.01
16,ODP,2022-10-19,"KIT, DRY ERASE MARKER (12)",GENERAL SERVICES ADMINISTRATION (GSA),28.38
17,ODP,2022-10-19,"TAPE, PRESSURE SENSITIVE .75X1000 6 ROLL",GENERAL SERVICES ADMINISTRATION (GSA),141.58
18,ODP,2022-10-19,ASPEN COPY PAPER,GENERAL SERVICES ADMINISTRATION (GSA),232.5
19,ODP,2022-10-19,"LABELS,LASER,1X2 3/4",GENERAL SERVICES ADMINISTRATION (GSA),31.58
20,ODP,2022-10-19,"7520 STAPLER,DESK,FULL,BG",GENERAL SERVICES ADMINISTRATION (GSA),133.65
21,MSFT,2022-10-19,DEA MICROSOFT ACTIVE DIRECTORY,DEPARTMENT OF JUSTICE (DOJ),152190.0
22,MCK,2022-10-19,INVOICE NUMBER 7372243439 MCKESSON PR-303-000345 CAMBODIA FOR MEDUCAL SUPPLIES,DEPARTMENT OF VETERANS AFFAIRS (VA),11053.62
23,MCK,2022-10-19,RP #23-0001  REGULAR MEDICATION MCKESSON,DEPARTMENT OF JUSTICE (DOJ),28650.85
24,MCK,2022-10-19,MCKESSON OPM DECEMBER 2022,DEPARTMENT OF JUSTICE (DOJ),10000.0
25,MCK,2022-10-19,MCKESSON OPM NOVEMBER 2022,DEPARTMENT OF JUSTICE (DOJ),10000.0
26,MCK,2022-10-19,B1-MCKESSON OPEN MARKET RP0029,DEPARTMENT OF JUSTICE (DOJ),81.37
27,MCK,2022-10-19,MEDICATION ORDER 0037-23,DEPARTMENT OF JUSTICE (DOJ),17732.54
28,MCK,2022-10-19,CONTROLLED MEDICATION FOR FY23,DEPARTMENT OF JUSTICE (DOJ),2000.0
29,MCK,2022-10-19,INMATE MEDICATION ORDER,DEPARTMENT OF JUSTICE (DOJ),20000.0
30,MAN,2022-10-19,EXPERT WITNESS SERVICES.,DEPARTMENT OF JUSTICE (DOJ),10258.44
31,JLL,2022-10-19,HEADQUARTERS COMPREHENSIVE FURNITURE MANAGEMENT SERVICES-CORPORATE FINANCE RE-ALIGNMENT,SECURITIES AND EXCHANGE COMMISSION (SEC),561042.63
32,JLL,2022-10-19,SEC HEADQUARTERS STATION PLACE 3 COMPREHENSIVE FURNITURE MANAGEMENT SERVICES,SECURITIES AND EXCHANGE COMMISSION (SEC),2069933.72
33,GMS,2022-10-19,"CLEANER,INDUSTRIAL,",GENERAL SERVICES ADMINISTRATION (GSA),532.72
34,FLS,2022-10-19,HIGH TEMPERATURE AIR VALVE FOR COMBUSTION TEST FACILITIES,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA),49976.0
35,EXPR,2022-10-19,0913-092922 N27HX PKG-58373,DEPARTMENT OF AGRICULTURE (USDA),157567.76
36,EXPR,2022-10-19,TRANSPORTATION,DEPARTMENT OF JUSTICE (DOJ),11815.87
37,EXPR,2022-10-19,INTERNATIONAL COURIER,DEPARTMENT OF STATE (DOS),0.0
38,EW,2022-10-19,PROSTHETICS - TAVR,DEPARTMENT OF VETERANS AFFAIRS (VA),48500.0
39,EW,2022-10-19,HEART VAVLEX2,DEPARTMENT OF VETERANS AFFAIRS (VA),22000.0
40,ED,2022-10-19,LIGHTING & BUILDING ENVELOPE EFFICIENCY,DEPARTMENT OF DEFENSE (DOD),246965.0
41,ED,2022-10-19,LIGHTING & BUILDING ENVELOPE EFFICIENCY,DEPARTMENT OF DEFENSE (DOD),317780.0
42,ED,2022-10-19,BOILER REPLACEMENT PROJECT,DEPARTMENT OF DEFENSE (DOD),795011.0
43,ED,2022-10-19,LIGHTING & BUILDING ENVELOPE EFFICIENCY,DEPARTMENT OF DEFENSE (DOD),288327.0
