,Date,Ticker,Client,Amount,Issue,Specific_Issue
0,2022-10-08,HUN,HUNTSMAN CORPORATION,18750.0,"Medical/Disease Research/Clinical Labs 
 Trade (domestic/foreign) 
 Chemicals/Chemical Industry 
 Taxation/Internal Revenue Code 
 Fuel/Gas/Oil","CMS Medicare 
 Petrochemical industry, taxation and exports 
 Petrochemical industry, taxation and exports 
 Petrochemical industry, taxation and exports 
 Petrochemical industry, taxation and exports"
1,2022-10-08,CHRS,COHERUS BIOSCIENCES,50000.0,Pharmacy,"PL 117-169 - The Inflation Reduction Act of 2022 - Support for policies focused on advancing the use of biosimilars in the Medicare program. S. 3991 - American Made Pharmaceuticals Act - Support for policies that increase the ability for medications across the spectrum to be developed, manufactured and distributed in the US. S. 164 - Biosimilars Education Act of 2021 - A bill to raise awareness of the efficacy and promise of biosimilars in the American health care system. Issues and policies that incent companies to increase their US footprint and adopt Made in America business practices. Policies to help grow the biosimilars marketplace in the United States. Policies focused on improving cancer care through access to affordable treatments."
2,2022-10-08,DVA,DAVITA INC.,70000.0,"Medicare/Medicaid 
 Health Issues","H.R. 8594 - The ESRD Nondiscrimination Act of 2022 - Issues related to supporting Medicare Secondary Payment program protections for ESRD patients. P.L. 117-169 - The Inflation Reduction Act of 2022 - Health care elements of the bill including policies supporting Medicare and Medicaid beneficiaries. H.R. 4942/S. 2649 - The BETTER Kidney Care Act of 2021 - Support for the creation of a 5 year demonstration project for people with ESRD in Fee For Service Medicare to have better coordination of their care, which is currently not possible under the Medicare program's rules. PL 117- 2- The American Rescue Plan Act Implementation - Issues related to coverage of people with ESRD during the Covid-19 Pandemic and beyond regarding coverage, support for facilities and providers caring for kidney patients, and use of telemedicine and other technologies to correctly care for people living with ESRD. Issues related to the impact of the workforce shortage on dialysis clinics and their ability to support their patients. 
 H.R. 8594 - The ESRD Nondiscrimination Act of 2022 - Issues related to supporting Medicare Secondary Payment program protections for ESRD patients. P.L. 117-169 - The Inflation Reduction Act of 2022 - Health care elements of the bill including policies supporting Medicare and Medicaid beneficiaries. H.R. 4942/S. 2649 - The BETTER Kidney Care Act of 2021 - Support for the creation of a 5 year demonstration project for people with ESRD in Fee For Service Medicare to have better coordination of their care, which is currently not possible under the Medicare program's rules. PL 117- 2- The American Rescue Plan Act Implementation - Issues related to coverage of people with ESRD during the Covid-19 Pandemic and beyond regarding coverage, support for facilities and providers caring for kidney patients, and use of telemedicine and other technologies to correctly care for people living with ESRD. Issues related to the impact of the workforce shortage on dialysis clinics and their ability to support their patients."
3,2022-10-08,NEOG,NEOGENOMICS LABORATORIES,60000.0,Medical/Disease Research/Clinical Labs,"Verifying Accurate Leading-edge IVCT Development Act of 2020, S. 3404 Saving Access to Laboratory Services Act, S. 4449, HR 8188"
4,2022-10-07,SO,SOUTHERN COMPANY,50000.0,"Environment/Superfund 
 Energy/Nuclear","Issues related to Environmental Protection Agency (EPA) regulations and general environmental policy. 
 Issues related to energy policy, nuclear energy, the Nuclear Regulatory Commission (NRC), the Federal Energy Regulatory Commission (FERC), and infrastructure; FY2022 Budget Reconciliation (H.R.5376); Permitting Reform/Energy Independence and Security Act of 2022 (proposal)."
5,2022-10-07,MOH,"MOLINA HEALTHCARE, INC.",340000.0,Medicare/Medicaid,"Improving Needed Safeguards for Users of Lifesaving Insulin Now (INSULIN) Act. H.R.6833 - Affordable Insulin Now Act - entire bill. H.R. 5376 Inflation Reduction Act (P.L. 117-169) - ACA provisions, Part D Reform."
6,2022-10-07,SO,SOUTHERN MINNESOTA BEET SUGAR COOP,280000.0,"Labor Issues/Antitrust/Workplace 
 Environment/Superfund 
 Budget/Appropriations 
 Trade (domestic/foreign) 
 Agriculture","Farm Workforce Modernization Act; Rail Labor Strike issues 
 EPA - Food use Revocation of Chlorpyrifos Discussions with House and Senate on conservation programs USDA - Climate Smart Commodities Program 
 US House and Senate Fiscal Year 2022 Agriculture Appropriations Act including but not limited to the US Sugar Program as describe in the Agriculture Improvement Act of 2018, sugarbeet research funding and funding for US Farm Programs. 
 US Sugar Policy as describe in the Farm Bill - The Agriculture Improvement act of 2018 USDA TRQ reallocation as it relates to sugar policy 
 US Sugar Policy as describe in the Farm Bill - The Agriculture Improvement Act of 2018 USDA - Sugar Program Administration Rural and Agriculture Infrastructure Agriculture Sustainability including but not limited to the Pandemic Cover Crop Program Potential Improvements to the Sugar Storage Facility Loan Program"
7,2022-10-07,SO,SOUTHERN MINNESOTA BEET SUGAR COOP,150000.0,"Environment/Superfund 
 Budget/Appropriations 
 Trade (domestic/foreign) 
 Agriculture","EPA - Food use Revocation of Chlorpyrifos Discussions with House and Senate on conservation programs USDA - Climate Smart Commodities Program 
 US House and Senate Fiscal Year 2022 Agriculture Appropriations Act including but not limited to the US Sugar Program as describe in the Agriculture Improvement Act of 2018, sugarbeet research funding and funding for US Farm Programs. 
 US Sugar Policy as describe in the Farm Bill - The Agriculture Improvement act of 2018 USDA TRQ reallocation as it relates to sugar policy 
 US Sugar Policy as describe in the Farm Bill - The Agriculture Improvement Act of 2018 USDA - Sugar Program Administration Rural and Agriculture Infrastructure Agriculture Sustainability including but not limited to the Pandemic Cover Crop Program"
8,2022-10-07,SO,SOUTHERN MINNESOTA BEET SUGAR COOP,550000.0,"Trade (domestic/foreign) 
 Agriculture","US Sugar Policy as describe in the Farm Bill 
 US Sugar Policy as describe in the Farm Bill"
9,2022-10-07,SO,SOUTHERN MINNESOTA BEET SUGAR COOP,80000.0,"Trade (domestic/foreign) 
 Agriculture","US Sugar Policy as describe in the Farm Bill 
 US Sugar Policy as describe in the Farm Bill"
10,2022-10-07,SO,SOUTHERN MINNESOTA BEET SUGAR COOP,80000.0,"Trade (domestic/foreign) 
 Agriculture","US Sugar Policy as describe in the Farm Bill 
 US Sugar Policy as describe in the Farm Bill"
11,2022-10-07,SO,SOUTHERN MINNESOTA BEET SUGAR COOP,190000.0,"Trade (domestic/foreign) 
 Agriculture","US Sugar Policy as describe in the Farm Bill 
 US Sugar Policy as describe in the Farm Bill"
12,2022-10-07,JNJ,JOHNSON & JOHNSON,30000.0,Veterans,"Supply chain modernization, medical surgical prime vendor reforms, prosthetics"
13,2022-10-07,BSX,BOSTON SCIENTIFIC CORPORATION,20000.0,Veterans,"Supply chain modernization, medical surgical prime vendor reforms, prosthetics reforms"
