,Ticker,OTC_Short,OTC_Total,DPI,Date
0,TQQQ,64839200,129917645,0.4990792436,2022-10-19
1,SQQQ,37459568,68030598,0.5506282335,2022-10-19
2,AMD,19546666,46360393,0.4216242515,2022-10-19
3,RDHL,23703444,44964130,0.5271634078,2022-10-19
4,NIO,19759091,40755743,0.4848173422,2022-10-19
5,NVDA,19663847,32754339,0.6003432706,2022-10-19
6,CCL,12419629,31641384,0.3925121923,2022-10-19
7,TSLA,12067206,30765922,0.3922263731,2022-10-19
8,CEI,11396748,27529066,0.4139896355,2022-10-19
9,AAPL,14203240,26316569,0.5397071328,2022-10-19
10,NFLX,12554078,25346940,0.4952896878,2022-10-19
11,AAL,8328748,23393205,0.3560327882,2022-10-19
12,F,12077383,22247874,0.5428556005,2022-10-19
13,SNES,10546144,22022959,0.478870437,2022-10-19
14,SNAP,9295270,21859525,0.4252274466,2022-10-19
15,AMZN,9275807,21519244,0.4310470665,2022-10-19
16,QQQ,10593399,19375591,0.5467394001,2022-10-19
17,SOFI,8344121,17482016,0.4772974124,2022-10-19
18,T,8461063,17064783,0.4958201344,2022-10-19
19,ZVO,8460794,16399004,0.5159334067,2022-10-19
20,PLTR,4926606,15209926,0.3239072958,2022-10-19
21,ICLN,8927091,14958231,0.5968012528,2022-10-19
22,ABEV,8101784,14855662,0.545366743,2022-10-19
23,PBR,5982176,14582461,0.4102308931,2022-10-19
24,NOK,5805808,13941046,0.4164542603,2022-10-19
25,UAL,5939575,13893635,0.4275033136,2022-10-19
26,BAC,6579420,13292375,0.4949770075,2022-10-19
27,RIG,4661746,12704517,0.3669361063,2022-10-19
28,INTC,6925297,11893149,0.5822929655,2022-10-19
29,PLUG,3927905,11558457,0.3398295291,2022-10-19
30,ITUB,6297672,11469853,0.5490630089,2022-10-19
31,SHOP,4922696,11021257,0.4466546783,2022-10-19
32,GOLD,4844160,10957713,0.4420776489,2022-10-19
33,CVNA,5903847,10908662,0.5412072535,2022-10-19
34,BABA,5082093,10095303,0.5034116361,2022-10-19
35,VALE,5853210,9469790,0.6180929039,2022-10-19
36,SINT,5152492,9459839,0.5446701577,2022-10-19
37,OXY,5264845,9189523,0.5729182026,2022-10-19
38,BBD,4774989,8224019,0.5806150253,2022-10-19
39,RBLX,4941537,8020414,0.6161199409,2022-10-19
40,PFE,3271258,7991551,0.4093395637,2022-10-19
41,SWN,4791400,7723954,0.6203299502,2022-10-19
42,XOM,3567075,7396362,0.4822742586,2022-10-19
43,ALLY,4464337,7369437,0.6057907816,2022-10-19
44,ET,3302585,7358449,0.4488153686,2022-10-19
45,SQ,3114507,7283577,0.4276067927,2022-10-19
46,VZ,2285152,7275317,0.3140965541,2022-10-19
47,MSFT,2458127,7132581,0.3446335906,2022-10-19
48,CMCSA,1959783,7102437,0.2759310642,2022-10-19
49,KMI,4871663,7058668,0.690167465,2022-10-19
50,BKR,1742599,6917106,0.2519260222,2022-10-19
51,MARA,3867919,6916822,0.5592046463,2022-10-19
52,AMC,3842216,6780906,0.5666228082,2022-10-19
53,TLRY,2777791,6657605,0.4172357777,2022-10-19
54,NCLH,2527022,6644685,0.3803072681,2022-10-19
55,GOOGL,1566823,6579002,0.2381551184,2022-10-19
56,GNRC,3021479,6559056,0.4606576007,2022-10-19
57,CABA,3218089,6498366,0.4952151048,2022-10-19
58,ZYME,2221372,6355946,0.3494951027,2022-10-19
59,ABT,3080046,6344841,0.4854410063,2022-10-19
60,XELA,3479205,6309447,0.5514278827,2022-10-19
61,TLT,3033244,6168772,0.4917095331,2022-10-19
62,UBER,3616945,6146344,0.5884709675,2022-10-19
63,ROKU,2939120,6017013,0.4884682815,2022-10-19
64,IDEX,2831672,5801622,0.4880828155,2022-10-19
65,HPE,3701324,5689751,0.6505247769,2022-10-19
66,HBAN,2870231,5658227,0.5072668523,2022-10-19
67,CPG,2465039,5657806,0.4356881448,2022-10-19
68,DAL,2907565,5473935,0.531165423,2022-10-19
69,STOR,2445543,5461574,0.4477725652,2022-10-19
70,SLB,2702863,5365821,0.5037184431,2022-10-19
71,WFC,1680562,5331878,0.3151913828,2022-10-19
72,JBLU,2913871,5200228,0.5603352391,2022-10-19
73,KEY,3492169,5175978,0.6746877595,2022-10-19
74,KGC,1955327,5164678,0.37859611,2022-10-19
75,CIG,2666018,5147740,0.517900671,2022-10-19
76,CS,2562061,5138558,0.4985953258,2022-10-19
77,PTON,3275803,5017401,0.6528884177,2022-10-19
78,AGNC,2555439,4900494,0.521465591,2022-10-19
79,FCX,2233298,4867840,0.4587862378,2022-10-19
80,SNY,1104663,4797052,0.230279555,2022-10-19
81,AUY,3153067,4780981,0.659502098,2022-10-19
82,ZOM,2217159,4709359,0.4707984675,2022-10-19
83,LCID,3170259,4625118,0.6854439173,2022-10-19
84,DIS,2333398,4579954,0.5094806629,2022-10-19
85,MU,2493519,4496207,0.554582785,2022-10-19
86,C,1565531,4453894,0.3514971394,2022-10-19
87,LYFT,3619625,4340608,0.8338981544,2022-10-19
88,AFRM,2389196,4324606,0.5524655888,2022-10-19
89,COIN,2314800,4303257,0.5379181397,2022-10-19
90,JPM,2139084,4153759,0.5149754716,2022-10-19
91,RIVN,2106698,4133048,0.5097201871,2022-10-19
92,M,2607136,4102321,0.635527059,2022-10-19
93,ACOR,1829180,4075812,0.4487891002,2022-10-19
94,AR,1823955,4022134,0.4534794216,2022-10-19
95,EMB,3052763,4015601,0.7602256798,2022-10-19
96,BND,2308728,4015373,0.5749722379,2022-10-19
97,RUN,2234528,3840147,0.581886058,2022-10-19
98,NVAX,2432925,3825799,0.6359259857,2022-10-19
99,HAL,2371642,3808961,0.6226480135,2022-10-19
100,FTI,1067447,3771357,0.2830405607,2022-10-19
101,MRO,2123924,3769015,0.5635222996,2022-10-19
102,PDD,2113694,3733152,0.5661955366,2022-10-19
103,TSM,1252222,3681476,0.3401412912,2022-10-19
104,DVN,1662617,3671566,0.4528359289,2022-10-19
105,AMAT,1898898,3666995,0.517834903,2022-10-19
106,PCG,1702771,3645096,0.4671402344,2022-10-19
107,RIOT,1957226,3635315,0.5383924089,2022-10-19
108,PINS,1441654,3543960,0.4067918374,2022-10-19
109,RF,2557234,3513654,0.7277990377,2022-10-19
110,IQ,1930409,3510744,0.5498575231,2022-10-19
111,MPW,2261126,3495436,0.6468795309,2022-10-19
112,CSCO,1431824,3493290,0.4098783668,2022-10-19
113,LYG,1685298,3466719,0.4861363151,2022-10-19
114,CVX,1877724,3375830,0.5562258763,2022-10-19
115,ACB,2080141,3375562,0.6162354595,2022-10-19
116,CGC,1718045,3371953,0.5095103639,2022-10-19
117,UEC,1451594,3370882,0.4306273551,2022-10-19
118,LVS,1906171,3369410,0.5657284213,2022-10-19
119,SE,1883762,3352895,0.5618314919,2022-10-19
120,HEXO,1941351,3332489,0.5825528606,2022-10-19
121,FCEL,1179523,3287465,0.358794086,2022-10-19
122,AG,1337401,3252612,0.4111775398,2022-10-19
123,LUV,1171000,3215722,0.3641483934,2022-10-19
124,CSX,840064,3205411,0.2620768444,2022-10-19
125,MLCO,1458309,3194225,0.4565454844,2022-10-19
126,FITB,898279,3151511,0.285031212,2022-10-19
127,BILI,2098933,3149793,0.6663717266,2022-10-19
128,CLF,2004880,3115874,0.6434406526,2022-10-19
129,REAL,1874684,3056270,0.6133895238,2022-10-19
130,BAX,631633,3040042,0.2077711426,2022-10-19
131,APA,1802757,3029514,0.595064753,2022-10-19
132,FHN,349287,2965445,0.1177856949,2022-10-19
133,KERN,1543457,2954398,0.5224269039,2022-10-19
134,GM,982670,2944889,0.3336866008,2022-10-19
135,JD,1243448,2859725,0.434813837,2022-10-19
136,BA,1131446,2823142,0.4007754481,2022-10-19
137,UAA,2070502,2786594,0.7430224855,2022-10-19
138,GGB,1383928,2784254,0.4970552256,2022-10-19
139,MRK,1126061,2774027,0.4059300793,2022-10-19
140,PG,1760799,2765946,0.6365991961,2022-10-19
141,TWTR,1028645,2764228,0.3721274077,2022-10-19
142,NLY,1546608,2750817,0.5622358739,2022-10-19
143,AA,2029386,2722388,0.7454433387,2022-10-19
144,BTG,1635780,2718299,0.6017660309,2022-10-19
145,MRVL,919738,2657303,0.3461170969,2022-10-19
146,VXUS,1248270,2652034,0.4706840108,2022-10-19
147,HBI,1763389,2650201,0.6653793429,2022-10-19
148,RDFN,1764345,2628118,0.6713340116,2022-10-19
149,X,1485134,2607001,0.5696714347,2022-10-19
150,BBBY,827299,2599792,0.3182173805,2022-10-19
151,NYCB,1631926,2585690,0.63113753,2022-10-19
152,BTU,857446,2551632,0.3360382688,2022-10-19
153,MTB,1249996,2518580,0.4963098254,2022-10-19
154,BCS,1082311,2503693,0.4322858274,2022-10-19
155,DOW,1646285,2493005,0.660361692,2022-10-19
156,WBA,1262405,2475841,0.5098893669,2022-10-19
157,BIDU,1132505,2468598,0.4587644485,2022-10-19
158,EVFM,409075,2466352,0.1658623749,2022-10-19
159,KO,657063,2449664,0.2682257648,2022-10-19
160,HL,1097971,2447947,0.4485272761,2022-10-19
161,BNGO,1423466,2427356,0.5864265481,2022-10-19
162,GILD,834418,2426126,0.3439301998,2022-10-19
163,SRNE,1520787,2413144,0.630209801,2022-10-19
164,MRNA,1137430,2412668,0.4714407453,2022-10-19
165,ISRG,1280672,2390348,0.5357680137,2022-10-19
166,SIRI,1652882,2379672,0.6945839595,2022-10-19
167,AMPE,1170799,2370238,0.4939584126,2022-10-19
168,BP,1202031,2343301,0.5129648304,2022-10-19
169,INSM,578145,2342140,0.2468447659,2022-10-19
170,PDBC,481697,2339047,0.2059372898,2022-10-19
171,IAG,1568509,2335686,0.6715410376,2022-10-19
172,GPS,1432011,2319013,0.6175088281,2022-10-19
173,NVTA,1665687,2314675,0.7196202491,2022-10-19
174,AVTR,558616,2302625,0.2425996417,2022-10-19
175,PYPL,737576,2263625,0.3258384229,2022-10-19
176,CCJ,568821,2226263,0.2555048528,2022-10-19
177,IPG,1104510,2217811,0.4980180908,2022-10-19
178,EQT,882269,2203071,0.4004723407,2022-10-19
179,PFF,1466222,2197921,0.6670949502,2022-10-19
180,CRM,1451652,2195334,0.6612442571,2022-10-19
181,IEF,563637,2191666,0.2571728539,2022-10-19
182,PRTY,1256314,2190964,0.5734069569,2022-10-19
183,SIEN,1418135,2183126,0.6495891671,2022-10-19
184,NEE,600242,2175646,0.2758913904,2022-10-19
185,USB,512212,2175297,0.2354676166,2022-10-19
186,TELL,1090095,2174100,0.5014005796,2022-10-19
187,TEVA,1302052,2167418,0.6007387592,2022-10-19
188,APRN,1220050,2156974,0.5656303692,2022-10-19
189,CHWY,1681443,2148821,0.7824956104,2022-10-19
190,HOOD,1132974,2148756,0.5272697319,2022-10-19
191,ASX,1464228,2147354,0.6818754616,2022-10-19
192,AMRS,1174241,2138442,0.5491105207,2022-10-19
193,GFI,1486556,2129933,0.6979355689,2022-10-19
194,VTGN,1442278,2088198,0.690680673,2022-10-19
195,CG,514595,2075783,0.2479040439,2022-10-19
196,GSK,878721,2071165,0.4242641219,2022-10-19
197,WTRH,889707,2056551,0.432620927,2022-10-19
198,SHY,1252931,2051764,0.6106603878,2022-10-19
199,KMX,1006294,2051005,0.4906345913,2022-10-19
200,KOS,538428,2040667,0.2638490258,2022-10-19
201,ADBE,833500,2027742,0.4110483484,2022-10-19
202,CVE,838915,2024176,0.4144476567,2022-10-19
203,KR,593001,2007724,0.2953598204,2022-10-19
204,PLD,716147,2006693,0.3568792037,2022-10-19
205,RCL,1146773,1988095,0.5768200212,2022-10-19
206,ANPC,938380,1985476,0.4726221823,2022-10-19
207,IGSB,803028,1974024,0.4067974857,2022-10-19
208,FTCH,847506,1972137,0.4297399217,2022-10-19
209,VCSH,611293,1967601,0.3106793501,2022-10-19
210,VSTM,1041953,1966957,0.5297284079,2022-10-19
211,GTE,502044,1961858,0.255902313,2022-10-19
212,NBY,975570,1955107,0.4989854775,2022-10-19
213,VICI,695151,1929035,0.3603620463,2022-10-19
214,ELAN,611581,1920900,0.318382529,2022-10-19
215,SBUX,966919,1904430,0.5077209454,2022-10-19
216,JNJ,641484,1895338,0.3384536162,2022-10-19
217,TME,1094499,1884666,0.5807389744,2022-10-19
218,GME,1580504,1878615,0.8413134144,2022-10-19
219,AVYA,1165788,1867075,0.6243926998,2022-10-19
220,WTI,778950,1862268,0.4182802905,2022-10-19
221,MO,821115,1850134,0.4438137994,2022-10-19
222,CLNE,716897,1845723,0.3884098535,2022-10-19
223,VGSH,1180328,1843788,0.6401647044,2022-10-19
224,JAGX,907230,1843621,0.4920913789,2022-10-19
225,GE,878194,1836613,0.4781595252,2022-10-19
226,WYNN,1137057,1828444,0.6218713835,2022-10-19
227,VLO,672534,1816864,0.3701619934,2022-10-19
228,IBN,1246036,1793302,0.6948277535,2022-10-19
229,UBX,981275,1786516,0.5492674009,2022-10-19
230,PENN,1107871,1779553,0.6225557766,2022-10-19
231,HD,996960,1752905,0.568747308,2022-10-19
232,CFG,912765,1750716,0.5213666865,2022-10-19
233,AVEO,330336,1747732,0.1890083834,2022-10-19
234,ATXI,755527,1747432,0.4323641778,2022-10-19
235,BE,973200,1738361,0.5598376862,2022-10-19
236,NEM,420053,1737725,0.2417258197,2022-10-19
237,DB,1003155,1731041,0.5795096708,2022-10-19
238,CLR,1067434,1701497,0.627349916,2022-10-19
239,LOW,1152323,1696021,0.6794273184,2022-10-19
240,SHV,900583,1695743,0.5310846042,2022-10-19
