,Date,Ticker,Claims,IPC,Abstract
0,2022-10-11,ZY,20.0,c12m001/42,"disclosed are apparatuses, systems, and methods for performing electroporation."
1,2022-10-11,ZM,20.0,h04n007/15,"a transcript of a conference (e.g., a video conference, an audio conference, or a telephone call with two or more participants) is processed to extract a conference summary. the transcript includes strings that are associated with respective timestamps and respective speaker identifiers. speaker segments—sequences of consecutive strings attributed to the same speaker—are identified in the transcript. a speaker segment is selected based on its duration in time and one or more strings are selected from with the selected speaker segment for inclusion in the conference summary. a short video conference summary or a short audio conference summary is then generated using timestamps from the transcript associated with strings (e.g., sentences) that have been selected for inclusion in the conference summary. the short video or audio summary may be presented to users to enable efficient storage and transmission of information from the conference within a unified communications system."
2,2022-10-11,ZM,20.0,h04l012/18,"methods, systems, and apparatus, including computer programs encoded on computer storage media provide for the intelligent configuration of personal endpoint devices for video communication. the system identifies, within a room, a personal endpoint device to be used in a video communication session, then authenticates the personal endpoint device. the system then performs one or more diagnostic operations to receive diagnostic output from the personal endpoint device. the system processes the diagnostic output to determine a unique broadcasting signature of the room, and determines whether an existing optimal settings configuration of the personal endpoint device can be detected for the room. if an optimal settings configuration is detected, the setup dynamically configures one or more parameters of the personal endpoint device to match the optimal settings configuration. if not, then the system determines a new optimal settings configuration and stores it for future video communication in the room."
3,2022-10-11,XRX,20.0,b41f033/16,"according to aspects of the embodiments, there is provided methods to measure characteristics of line width and density of printed test patterns. by printing the test patterns and capturing with an in-line scanner or optical device, the analytical results of these test patterns can be used as feedback to a control system that adjusts both impression and inking levels without the need of a skilled operator."
4,2022-10-11,XRX,4.0,g06n005/02,"this disclosure provides a knowledge base system and method for curating both factual and logical knowledge while using a common data storage repository. according to an exemplary embodiment, a knowledge base stores complied boolean information which represents factual knowledge and logic for interpreting the factual knowledge. combining the knowledge base, i.e., functional logic knowledge (flk) repository, with a logic evaluator creates a knowledge abstraction layer."
5,2022-10-11,XRX,17.0,g06f003/12,a processor maintains image quality degradation for a printing device. a communications device receives a print job that includes instructions to print a plurality of printed sheets in a sheet printing sequence. the processor generates a predicted output image for a mid-job sheet of the printed sheets based on the image quality degradation and the sheet count of the mid-job sheet within the sheet printing sequence. the printing engine alter printing characteristics to print a proof sheet matching an appearance of the predicted output image.
6,2022-10-11,XRAY,13.0,a61c013/00,"the invention relates to a blank of a ceramic material, wherein a first ceramic material and then a second ceramic material of different compositions are filled into a die and wherein the materials are pressed and after pressing are sintered. a layer of the first ceramic material is thereby filled into the die and a first cavity formed in the layer, the second ceramic material is then filled into the first open cavity and the materials pressed together and then heat-treated."
7,2022-10-11,XFOR,14.0,c07k016/12,"the invention provides for an isolated antibody that specifically recognizes a galactan-iii epitope of the lipopolysaccharide (lps) o-antigen structure of  klebsiella pneumoniae , which epitope is incorporated in galactan-iii repeating units, wherein the galactan-iii repeating unit is a branched galactose homopolymer of formula (i). the invention further provides for a pharmaceutical or diagnostic preparation comprising said antibody, and a method of producing said antibody."
8,2022-10-11,WWD,13.0,g05g001/30,"a cable-linked brake pedal assembly for an airplane. the assembly includes a first cable assembly with a first end attached to a pilot-side brake pedal and a second end attached to a first bell crank assembly, and a second cable assembly with a first end attached to a copilot-side brake pedal and a second end attached to a second bell crank assembly. a first connecting rod with a first rod end is attached to the first bell crank assembly and a second rod end is attached to the second bell crank assembly. the connection between the first and second cable assemblies, first and second bell crank assemblies, and first connecting rod is configured such that depressing the pilot-side brake pedal moves the first cable assembly, first connecting rod, and second cable assembly in such a way as to cause a corresponding depression of the copilot-side brake pedal."
9,2022-10-11,WIX,12.0,g06f017/10,"a website building system (wbs) has at least one processor, a text content generator and a living document generator, both implemented on at least one processor. the text content generator generates a living document from a plurality of document sections stored on a storage device. the text content generator selects the document sections as a function of attributes of a designer or an end-user of a website. the living document generator updates the living document when changes to at least one of legal, business and website environments related to the living document occur."
