,Ticker,TrumpBeta,TrumpOdds
0,NNC,,0.4
1,BF.B,,0.4
2,NAVG,,0.4
3,CELG,,0.4
4,BWL.A,,0.4
5,BWMC,,0.4
6,SPEX,,0.4
7,EEI,,0.4
8,TST,,0.4
9,JMU,,0.4
10,TSS,,0.4
11,EDR,,0.4
12,VSI,,0.4
13,JMT,,0.4
14,SIFI,,0.4
15,GNRX,,0.4
16,GRSH,,0.4
17,HPJ,,0.4
18,TVPT,,0.4
19,SHOS,,0.4
20,VSM,,0.4
21,GHDX,,0.4
22,CRD.A,,0.4
23,BKS,,0.4
24,CART,,0.4
25,EFII,,0.4
26,BMS,,0.4
27,CTAC,,0.4
28,NRI,,0.4
29,JW.A,,0.4
30,MLNT,,0.4
31,CRAY,,0.4
32,OAK,,0.4
33,SQL,,0.4
34,IPOA,,0.4
35,CVRS,,0.4
36,SKIS,,0.4
37,RWGE,,0.4
38,JSYN,,0.4
39,NYRT,,0.4
40,CHSP,,0.4
41,NYNY,,0.4
42,HYLT,,0.4
43,NRE,,0.4
44,SXCP,,0.4
45,NRCG,,0.4
46,LLL,,0.4
47,BID,,0.4
48,CARB,,0.4
49,LLEX,,0.4
50,MRIC,,0.4
51,UWN,,0.4
52,PVTL,,0.4
53,PVT,,0.4
54,GRP.U,,0.4
55,GFA,,0.4
56,ROX,,0.4
57,ACHN,,0.4
58,CTWS,,0.4
59,WP,,0.4
60,MXWL,,0.4
61,LOR,,0.4
62,RVEN,,0.4
63,INB,,0.4
64,HYGS,,0.4
65,ULTI,,0.4
66,PCMI,,0.4
67,MSL,,0.4
68,SEMG,,0.4
69,HAIR,,0.4
70,UL.1,,0.4
71,BKJ,,0.4
72,FRSH,,0.4
73,LABL,,0.4
74,TOWR,,0.4
75,SSFN,,0.4
76,MDSO,,0.4
77,SFS,,0.4
78,SGB,,0.4
79,AMBR,,0.4
80,DNBF,,0.4
81,SFTW.U,,0.4
82,SFLY,,0.4
83,CIC,,0.4
84,SSW,,0.4
85,BIOS.1,,0.4
86,BIOS,,0.4
87,SRCI,,0.4
88,GLAC,,0.4
89,BTWM,,0.4
90,MDR,,0.4
91,DDDD,,0.4
92,SBOT,,0.4
93,UQM,,0.4
94,ASV,,0.4
95,ORIT,,0.4
96,BPMX,,0.4
97,APC,,0.4
98,ALUS.U,,0.4
99,SBGL,,0.4
100,BPR,,0.4
101,DOVA,,0.4
102,LGF.A,,0.4
103,CRR,,0.4
104,NTC,,0.4
105,TRCB,,0.4
106,BPTS,,0.4
107,MOG.A,,0.4
108,DFWH,,0.4
109,BRAC,,0.4
110,DFRG,,0.4
111,DFNSU,,0.4
112,TIER,,0.4
113,DFBH,,0.4
114,AMID,,0.4
115,FLRZ,,0.4
116,BRK.B,,0.4
117,MDCO,,0.4
118,BPL,,0.4
119,LBY,,0.4
120,IMI,,0.4
121,ONCE,,0.4
122,STNL,,0.4
123,DGSE,,0.4
124,MBTF,,0.4
125,TRK,,0.4
126,ANDX,,0.4
127,LEXEA,,0.4
128,MYND,,0.4
129,RDS.A,,0.4
130,FLKS,,0.4
131,GIG,,0.4
132,CHFC,,0.4
133,MTEC,,0.4
134,DHXM,,0.4
135,PSDO,,0.4
