,Date,ReportPeriod,Ticker,Fund,Change
0,2022-10-03,2022-09-30,FTV,"Capital Investment Services of America, Inc.",6238.0999183655
1,2022-10-03,2022-09-30,RMD,"Capital Investment Services of America, Inc.",-1114203.21557617
2,2022-10-03,2022-09-30,QCOM,"Capital Investment Services of America, Inc.",-523210.395545959
3,2022-10-03,2022-09-30,PYPL,"Capital Investment Services of America, Inc.",4258227.16490173
4,2022-10-03,2022-09-30,PTC,"Capital Investment Services of America, Inc.",-187652.397262573
5,2022-10-03,2022-09-30,NOW,"Capital Investment Services of America, Inc.",-830741.967773438
6,2022-10-03,2022-09-30,ORCL,"Capital Investment Services of America, Inc.",-428406.047859192
7,2022-10-03,2022-09-30,MUB,"Capital Investment Services of America, Inc.",-870212.985992432
8,2022-10-03,2022-09-30,MSFT,"Capital Investment Services of America, Inc.",-2953404.82260132
9,2022-10-03,2022-09-30,MCD,"Capital Investment Services of America, Inc.",18459.2004394531
10,2022-10-03,2022-09-30,PEP,"Capital Investment Services of America, Inc.",47018.8784179688
11,2022-10-03,2022-09-30,ROP,"Capital Investment Services of America, Inc.",-736183.109985352
12,2022-10-03,2022-09-30,VTIP,"Capital Investment Services of America, Inc.",0.0
13,2022-10-03,2022-09-30,JNJ,"Capital Investment Services of America, Inc.",-279018.88104248
14,2022-10-03,2022-09-30,VTI,"Capital Investment Services of America, Inc.",243899.731658936
15,2022-10-03,2022-09-30,VTEB,"Capital Investment Services of America, Inc.",-648566.997528076
16,2022-10-03,2022-09-30,VOO,"Capital Investment Services of America, Inc.",-192383.79284668
17,2022-10-03,2022-09-30,VEEV,"Capital Investment Services of America, Inc.",1593895.00720215
18,2022-10-03,2022-09-30,VCSH,"Capital Investment Services of America, Inc.",-9060531.4339447
19,2022-10-03,2022-09-30,SBUX,"Capital Investment Services of America, Inc.",-223289.005661011
20,2022-10-03,2022-09-30,USB,"Capital Investment Services of America, Inc.",-137087.998962402
21,2022-10-03,2022-09-30,TJX,"Capital Investment Services of America, Inc.",-727114.587497711
22,2022-10-03,2022-09-30,SYK,"Capital Investment Services of America, Inc.",-324874.149230957
23,2022-10-03,2022-09-30,SUB,"Capital Investment Services of America, Inc.",-51282.0014953613
24,2022-10-03,2022-09-30,SSNC,"Capital Investment Services of America, Inc.",-187562.0
25,2022-10-03,2022-09-30,SHY,"Capital Investment Services of America, Inc.",-12407389.0684891
26,2022-10-03,2022-09-30,TYL,"Capital Investment Services of America, Inc.",-199812.5
27,2022-10-03,2022-09-30,IVV,"Capital Investment Services of America, Inc.",383038.193481445
28,2022-10-03,2022-09-30,ILMN,"Capital Investment Services of America, Inc.",-2462908.02333069
29,2022-10-03,2022-09-30,BND,"Capital Investment Services of America, Inc.",-413520.960922241
30,2022-10-03,2022-09-30,BKNG,"Capital Investment Services of America, Inc.",-586625.956054688
31,2022-10-03,2022-09-30,BIV,"Capital Investment Services of America, Inc.",-68565.4206848145
32,2022-10-03,2022-09-30,ANSS,"Capital Investment Services of America, Inc.",-91340.3987426758
33,2022-10-03,2022-09-30,AMZN,"Capital Investment Services of America, Inc.",15293194.0
34,2022-10-03,2022-09-30,AME,"Capital Investment Services of America, Inc.",11341.0003662109
35,2022-10-03,2022-09-30,ALGT,"Capital Investment Services of America, Inc.",-120635.945549011
36,2022-10-03,2022-09-30,ADP,"Capital Investment Services of America, Inc.",-5654.7500610352
37,2022-10-03,2022-09-30,ADBE,"Capital Investment Services of America, Inc.",568838.425231934
38,2022-10-03,2022-09-30,ABT,"Capital Investment Services of America, Inc.",17126.5203781128
39,2022-10-03,2022-09-30,AAPL,"Capital Investment Services of America, Inc.",174131.996154785
40,2022-10-03,2022-09-30,WAB,"Capital Investment Services of America, Inc.",-239413.045509338
41,2022-10-03,2022-09-30,BRKB,"Capital Investment Services of America, Inc.",
42,2022-10-03,2022-09-30,IGSB,"Capital Investment Services of America, Inc.",-1304658.57067108
43,2022-10-03,2022-09-30,IEI,"Capital Investment Services of America, Inc.",3612405.17021179
44,2022-10-03,2022-09-30,GVI,"Capital Investment Services of America, Inc.",-63450.0026702881
45,2022-10-03,2022-09-30,GOOGL,"Capital Investment Services of America, Inc.",5938621.64473724
46,2022-10-03,2022-09-30,GOOG,"Capital Investment Services of America, Inc.",21059927.1342163
47,2022-10-03,2022-09-30,ITW,"Capital Investment Services of America, Inc.",-192572.893493652
48,2022-10-03,2022-09-30,YUM,PARK NATIONAL CORP /OH/,6167.7197875977
49,2022-10-03,2022-09-30,QCOM,PARK NATIONAL CORP /OH/,1704416.3306427
50,2022-10-03,2022-09-30,UNCRY,PARK NATIONAL CORP /OH/,156.8599982262
51,2022-10-03,2022-09-30,TXN,PARK NATIONAL CORP /OH/,-1857.3599853516
52,2022-10-03,2022-09-30,TTWO,PARK NATIONAL CORP /OH/,4787825.0
53,2022-10-03,2022-09-30,TT,PARK NATIONAL CORP /OH/,-1324577.04766846
54,2022-10-03,2022-09-30,TSN,PARK NATIONAL CORP /OH/,-2483319.39149475
55,2022-10-03,2022-09-30,TSLA,PARK NATIONAL CORP /OH/,254905.25
56,2022-10-03,2022-09-30,TSCO,PARK NATIONAL CORP /OH/,0.0
57,2022-10-03,2022-09-30,TRV,PARK NATIONAL CORP /OH/,55151.9989013672
58,2022-10-03,2022-09-30,TRP,PARK NATIONAL CORP /OH/,0.0
59,2022-10-03,2022-09-30,TRMB,PARK NATIONAL CORP /OH/,0.0
60,2022-10-03,2022-09-30,TMUS,PARK NATIONAL CORP /OH/,-4293.4399414062
61,2022-10-03,2022-09-30,TLTE,PARK NATIONAL CORP /OH/,-594.5800170898
62,2022-10-03,2022-09-30,TLTD,PARK NATIONAL CORP /OH/,-2842.4000167847
63,2022-10-03,2022-09-30,TKR,PARK NATIONAL CORP /OH/,215496.003341675
64,2022-10-03,2022-09-30,UNH,PARK NATIONAL CORP /OH/,505.0400085449
65,2022-10-03,2022-09-30,UNP,PARK NATIONAL CORP /OH/,-31755.6611938477
66,2022-10-03,2022-09-30,UPS,PARK NATIONAL CORP /OH/,-48785.0779724121
