,Ticker,Date,Senator,Transaction,Amount,Party,Range
0,AORT,2022-09-23,"Smith, Tina",Purchase,50001.0,D,"$50,001 - $100,000"
1,MSFT,2022-09-20,"Tuberville, Tommy",Sale,1001.0,R,"$1,001 - $15,000"
2,X,2022-09-20,"Tuberville, Tommy",Sale,1001.0,R,"$1,001 - $15,000"
3,SH,2022-09-19,"Carper, Thomas R.",Sale,15001.0,D,"$15,001 - $50,000"
4,ARKK,2022-09-19,"Tuberville, Tommy",Purchase,1001.0,R,"$1,001 - $15,000"
5,MSFT,2022-09-19,"Tuberville, Tommy",Purchase,250001.0,R,"$250,001 - $500,000"
6,X,2022-09-19,"Tuberville, Tommy",Purchase,100001.0,R,"$100,001 - $250,000"
7,SH,2022-09-19,"Carper, Thomas R.",Sale,1001.0,D,"$1,001 - $15,000"
8,SH,2022-09-19,"Carper, Thomas R.",Sale,1001.0,D,"$1,001 - $15,000"
9,SQM,2022-09-15,"Carper, Thomas R.",Sale,1001.0,D,"$1,001 - $15,000"
10,F,2022-09-12,"Tuberville, Tommy",Purchase,1001.0,R,"$1,001 - $15,000"
11,F,2022-09-12,"Tuberville, Tommy",Sale,15001.0,R,"$15,001 - $50,000"
12,F,2022-09-12,"Tuberville, Tommy",Purchase,1001.0,R,"$1,001 - $15,000"
13,ARKK,2022-09-07,"Tuberville, Tommy",Purchase,50001.0,R,"$50,001 - $100,000"
14,ECOM,2022-09-07,"Tuberville, Tommy",Sale,500001.0,R,"$500,001 - $1,000,000"
15,WFC,2022-09-06,"McConnell, A. Mitchell Jr.",Purchase,1001.0,R,"$1,001 - $15,000"
16,NU,2022-09-06,"Tuberville, Tommy",Purchase,1001.0,R,"$1,001 - $15,000"
17,SSYS,2022-08-26,"Tuberville, Tommy",Sale,50001.0,R,"$50,001 - $100,000"
18,ARKK,2022-08-25,"Tuberville, Tommy",Purchase,50001.0,R,"$50,001 - $100,000"
19,BKEPP,2022-08-19,"Hagerty, Bill",Sale,15001.0,R,"$15,001 - $50,000"
