,Ticker,Followers,pct_change_day,pct_change_week,pct_change_month,Date
0,TWTR,63782923,0.1059853762,0.3710616392,1.4358188068,2022-10-08T00:00:00.000Z
1,NYT,54486649,0.0132141569,0.1216583283,0.4417033793,2022-10-08T00:00:00.000Z
2,MANU,33212423,0.0383919398,0.3715379899,1.0226419907,2022-10-08T00:00:00.000Z
3,GOOGL,27008813,0.039417485,0.2661457399,0.8720079267,2022-10-08T00:00:00.000Z
4,NFLX,20783004,0.0813729835,0.5936247284,2.0528965158,2022-10-08T00:00:00.000Z
5,TSLA,17132429,0.0530737547,0.497530094,1.4578605991,2022-10-08T00:00:00.000Z
6,META,13858548,-0.0003030611,-0.0187286129,-0.0749876631,2022-10-08T00:00:00.000Z
7,WWE,12581563,0.0344750079,0.1883992743,0.6502252789,2022-10-08T00:00:00.000Z
8,MSFT,11646556,0.0438777032,0.3605949653,1.5740522868,2022-10-08T00:00:00.000Z
9,SBUX,11102641,0.0102959078,0.0688868984,0.1356560482,2022-10-08T00:00:00.000Z
10,DIS,9518913,0.042996075,0.3476727065,1.3342194703,2022-10-08T00:00:00.000Z
11,AAPL,8587363,0.0521386275,0.3859323486,1.5464514876,2022-10-08T00:00:00.000Z
12,SPOT,6655164,-0.0783888619,2.0139244426,5.9278501888,2022-10-08T00:00:00.000Z
13,EA,6568912,0.0217587164,0.1364337171,0.5168062251,2022-10-08T00:00:00.000Z
14,FAZE,5793961,0.0005695618,-0.0266585868,-0.0521305652,2022-10-08T00:00:00.000Z
15,RBLX,5789568,0.0890322933,0.8110935999,2.8560769115,2022-10-08T00:00:00.000Z
16,COIN,5372090,0.0143726363,0.1360537624,0.5175293684,2022-10-08T00:00:00.000Z
17,INTC,4966623,0.0062017814,0.0350259946,0.0965974247,2022-10-08T00:00:00.000Z
18,AMZN,4730162,0.0585311784,0.487763219,1.7370851022,2022-10-08T00:00:00.000Z
19,MCD,4675077,0.0259956327,0.1973909672,0.6419884377,2022-10-08T00:00:00.000Z
20,BB,4030178,-0.0039202687,-0.0256746543,-0.1281920705,2022-10-08T00:00:00.000Z
21,DBX,3940682,-0.0018270615,-0.0308227232,-0.1570101338,2022-10-08T00:00:00.000Z
22,WEN,3930846,0.0036889094,0.0232319482,0.0869015461,2022-10-08T00:00:00.000Z
23,TRIP,3423830,0.0030376263,0.0226405944,0.0822562654,2022-10-08T00:00:00.000Z
24,COKE,3398564,0.0088574663,0.0325537505,0.0576457793,2022-10-08T00:00:00.000Z
25,MNST,3032646,0.0019785094,-0.0039897559,-0.0763765237,2022-10-08T00:00:00.000Z
26,ETSY,2402311,0.0052452247,0.0171530943,0.041810564,2022-10-08T00:00:00.000Z
27,ATVI,2398626,0.0482174959,0.3002367605,1.2597170027,2022-10-08T00:00:00.000Z
28,HUBG,2386336,0.0304743988,0.2129961231,0.9003218969,2022-10-08T00:00:00.000Z
29,SNAP,2361267,0.0062258589,0.1292500824,0.2469591798,2022-10-08T00:00:00.000Z
30,RL,2319025,0.0064255269,0.0399465251,0.0746991966,2022-10-08T00:00:00.000Z
31,PINS,2292103,0.0028795347,0.0068064401,0.0050611107,2022-10-08T00:00:00.000Z
32,TGT,2169665,0.0035029676,0.0286301246,0.2658147532,2022-10-08T00:00:00.000Z
33,LUV,2161896,0.0049958645,0.0286867573,0.1352029225,2022-10-08T00:00:00.000Z
34,GPRO,2089710,0.0007178081,-0.0189942429,-0.0894538629,2022-10-08T00:00:00.000Z
35,GME,1930792,0.009168063,0.0221719841,0.1092454185,2022-10-08T00:00:00.000Z
36,NVDA,1913299,0.0387439231,0.2384285406,1.1757395965,2022-10-08T00:00:00.000Z
37,JBLU,1913107,0.0013067919,-0.007840034,-0.0555854205,2022-10-08T00:00:00.000Z
38,DAL,1666472,0.006481177,0.0316937424,0.1196770162,2022-10-08T00:00:00.000Z
39,AIRT,1655740,0.006281574,0.0400585592,0.1460692846,2022-10-08T00:00:00.000Z
40,AAL,1655718,0.0049527795,0.0387293159,0.1447386328,2022-10-08T00:00:00.000Z
41,VZ,1648860,0.0025472793,-0.0036993889,-0.0692120373,2022-10-08T00:00:00.000Z
42,FL,1588955,0.0139733989,0.1018686631,0.2352978284,2022-10-08T00:00:00.000Z
43,TMUS,1491476,-0.0011397975,-0.0224559277,0.0040230224,2022-10-08T00:00:00.000Z
44,DPZ,1485188,0.03037575,0.2261382325,0.6739215019,2022-10-08T00:00:00.000Z
45,FOXA,1451747,0.0053731257,0.0158454913,0.0456210353,2022-10-08T00:00:00.000Z
46,F,1449543,0.0146964459,0.083544323,0.4136963128,2022-10-08T00:00:00.000Z
47,MMM,1367826,-0.0013890463,-0.0084067953,-0.1215050858,2022-10-08T00:00:00.000Z
48,WMT,1328123,0.0107682345,0.0682631401,0.266875436,2022-10-08T00:00:00.000Z
49,FNKO,1269291,0.0225373422,0.1662741954,0.4006403918,2022-10-08T00:00:00.000Z
50,BBY,1226008,-0.0008156487,-0.0012234681,-0.0244636747,2022-10-08T00:00:00.000Z
51,HPE,1181572,0.0101569933,0.1138763019,0.302800073,2022-10-08T00:00:00.000Z
52,HPQ,1181572,0.0101569933,0.1138763019,0.302800073,2022-10-08T00:00:00.000Z
53,UAL,1166104,0.0090909247,0.0628125611,0.3602663871,2022-10-08T00:00:00.000Z
54,CMG,1142797,0.0018376305,0.0014876004,0.0622545062,2022-10-08T00:00:00.000Z
55,AMD,1126308,0.0554329634,0.180560324,0.5449905062,2022-10-08T00:00:00.000Z
56,HOOD,1118842,0.0035752528,0.0071507613,0.0658256015,2022-10-08T00:00:00.000Z
57,ZM,1101194,0.0196189206,0.1267503182,0.3672191512,2022-10-08T00:00:00.000Z
58,UBER,1089670,0.0065161587,0.0240497591,0.1145694275,2022-10-08T00:00:00.000Z
59,LGF.A,1062085,-0.0397173854,0.0324938309,0.3377388971,2022-10-08T00:00:00.000Z
60,RACE,990774,0.0563513415,0.4438379718,2.0408709749,2022-10-08T00:00:00.000Z
61,LULU,987518,0.0022278571,0.0017215172,-0.0637556317,2022-10-08T00:00:00.000Z
62,UAA,972349,0.0100797016,0.0375520585,0.1250083665,2022-10-08T00:00:00.000Z
63,GS,960900,0.026336417,0.1957200192,0.5117111991,2022-10-08T00:00:00.000Z
64,URBN,916739,-0.0027269832,-0.0412161153,-0.2081312707,2022-10-08T00:00:00.000Z
65,C,916058,0.0042575536,0.0270798528,0.0112450939,2022-10-08T00:00:00.000Z
66,T,912999,0.0044908966,0.0136930179,0.1780823721,2022-10-08T00:00:00.000Z
67,BAC,908894,0.2895384378,2.2480315802,3.6461706883,2022-10-08T00:00:00.000Z
68,FCF,896386,-0.0012271349,-0.0032351087,-0.1000797964,2022-10-08T00:00:00.000Z
69,M,896385,-0.0013386926,-0.0034582158,-0.1006365849,2022-10-08T00:00:00.000Z
70,PYPL,891617,0.012338658,0.1240859191,0.6373804982,2022-10-08T00:00:00.000Z
71,AXP,867027,0.0085356415,0.1514353437,0.196341734,2022-10-08T00:00:00.000Z
72,WBA,844937,0.0013018892,-0.0039054641,-0.1040414179,2022-10-08T00:00:00.000Z
73,HUBS,835035,0.0025149279,0.0158102199,0.1152175946,2022-10-08T00:00:00.000Z
74,ORCL,814454,0.0094550804,0.0924171257,0.218043466,2022-10-08T00:00:00.000Z
75,ADBE,805848,0.0670550895,0.443480537,2.141963549,2022-10-08T00:00:00.000Z
76,DELL,804945,0.0094425304,0.0447435635,0.1544100813,2022-10-08T00:00:00.000Z
77,GM,797171,0.0096600903,0.0368940251,0.0890186851,2022-10-08T00:00:00.000Z
78,KSS,782956,-0.0010217583,-0.0282183976,-0.1621977282,2022-10-08T00:00:00.000Z
79,EBAY,773009,0.0195378711,0.0767721021,0.2293708833,2022-10-08T00:00:00.000Z
80,CTSH,748729,0.0001335599,0.0009349264,-0.0687359525,2022-10-08T00:00:00.000Z
81,LEVI,743831,0.0010755247,-0.0049740008,-0.0638178384,2022-10-08T00:00:00.000Z
82,CSCO,743320,0.0119747427,0.0814578943,0.2289576091,2022-10-08T00:00:00.000Z
83,JWN,707933,0.0032490006,0.0113017816,-0.0233018593,2022-10-08T00:00:00.000Z
84,IBM,699721,0.0170096712,0.089258,0.4825083541,2022-10-08T00:00:00.000Z
85,CME,687665,0.00872594,0.0247274526,0.0852885913,2022-10-08T00:00:00.000Z
86,AMCX,678954,0.0025039142,0.0279920561,0.0069228922,2022-10-08T00:00:00.000Z
87,DB,678247,0.0038335587,0.1109971291,0.0765793947,2022-10-08T00:00:00.000Z
88,ULTA,667476,0.0172320528,0.1483899911,0.3667465118,2022-10-08T00:00:00.000Z
89,MS,663702,0.0265249591,0.2484680322,0.5732521719,2022-10-08T00:00:00.000Z
90,BA,653744,0.0088727615,0.0800647866,0.2922500802,2022-10-08T00:00:00.000Z
91,PZZA,650606,0.0033815772,0.0147576517,0.0923068402,2022-10-08T00:00:00.000Z
92,WU,623316,0.0006417332,-0.0003208635,-0.1206597347,2022-10-08T00:00:00.000Z
93,GPS,615821,-0.0014614423,-0.0146125008,-0.1099758475,2022-10-08T00:00:00.000Z
94,WMG,615003,0.011383354,0.0939087864,0.4052105969,2022-10-08T00:00:00.000Z
95,IMAX,612155,0.0147043206,0.1143173017,0.4100679893,2022-10-08T00:00:00.000Z
96,CRM,590025,0.0105091336,0.0500228918,1.6681485464,2022-10-08T00:00:00.000Z
97,PGRE,580513,0.0141274329,0.0931077826,0.3224763975,2022-10-08T00:00:00.000Z
98,HEAR,575971,-0.0074650963,0.1385667641,0.2084301107,2022-10-08T00:00:00.000Z
99,AEO,571312,0.00490124,0.0439532729,0.1258337802,2022-10-08T00:00:00.000Z
100,BLK,561385,0.0468703776,0.2704194359,1.4537147979,2022-10-08T00:00:00.000Z
101,WYNN,554587,0.002885113,0.0075737767,-0.0628901351,2022-10-08T00:00:00.000Z
102,ACN,552621,0.0077817068,0.0546785463,0.2905520671,2022-10-08T00:00:00.000Z
103,AMC,551860,0.0092423284,0.0600149765,0.078160561,2022-10-08T00:00:00.000Z
104,LYV,539745,0.0059290771,0.0708242872,0.1135155889,2022-10-08T00:00:00.000Z
105,DUOL,531665,0.0641792955,0.4401749365,3.7508488732,2022-10-08T00:00:00.000Z
106,TZOO,528574,-0.0007567473,-0.0226974394,-0.1190467192,2022-10-08T00:00:00.000Z
107,UBS,523012,0.005162672,0.0441867627,0.0390200609,2022-10-08T00:00:00.000Z
108,MA,496416,0.0048348886,0.0114836237,0.1232339327,2022-10-08T00:00:00.000Z
109,LMT,493938,0.0315928892,0.1463861675,0.617838482,2022-10-08T00:00:00.000Z
110,ANF,493706,-0.0042533627,-0.041910215,-0.2001229038,2022-10-08T00:00:00.000Z
111,PFE,488888,0.0032728403,0.023119022,0.1487211213,2022-10-08T00:00:00.000Z
112,HOG,482463,0.0078768721,0.0418860327,0.1677549283,2022-10-08T00:00:00.000Z
113,KDP,460957,0.0093292892,0.1486074569,0.3609848922,2022-10-08T00:00:00.000Z
114,REV,454088,0.0057260903,0.0427412568,0.1977086974,2022-10-08T00:00:00.000Z
115,QCOM,453139,0.0101524411,0.0401804145,0.1365682477,2022-10-08T00:00:00.000Z
116,EXPE,450589,0.0053266454,0.0126517095,0.0215320139,2022-10-08T00:00:00.000Z
117,GE,446380,-0.0002240239,-0.008960172,-0.0647011545,2022-10-08T00:00:00.000Z
118,DENN,444820,-0.005619935,-0.030789492,-0.218038906,2022-10-08T00:00:00.000Z
119,HD,441219,0.029699289,0.0812047335,0.4027771141,2022-10-08T00:00:00.000Z
120,MAR,440425,0.0147606504,0.0636153995,0.327115258,2022-10-08T00:00:00.000Z
121,WIX,420534,-0.0007133736,0.0107018257,0.0540081417,2022-10-08T00:00:00.000Z
122,MDB,412924,0.0336737042,0.2459269114,0.8541205148,2022-10-08T00:00:00.000Z
123,FVRR,411751,0.0403318877,0.2522430396,1.1529069567,2022-10-08T00:00:00.000Z
124,V,410838,0.0182587039,0.0309219865,0.1203867974,2022-10-08T00:00:00.000Z
125,GES,401384,-0.0012456744,-0.0072244795,-0.0846352222,2022-10-08T00:00:00.000Z
126,JPM,400727,0.0177209377,0.1807481925,0.3169270592,2022-10-08T00:00:00.000Z
127,ALK,397880,0.011311222,0.0480274788,0.18431416,2022-10-08T00:00:00.000Z
128,SHOP,396374,0.0227109851,0.0886312159,0.248107579,2022-10-08T00:00:00.000Z
129,CVX,382601,0.0143773559,0.040790179,0.0504696554,2022-10-08T00:00:00.000Z
130,MGM,380220,0.000526014,-0.0063117367,-0.044953745,2022-10-08T00:00:00.000Z
131,FORR,377465,-0.0002649245,-0.0111256215,-0.0275446342,2022-10-08T00:00:00.000Z
132,DKS,371066,0.0035035426,0.0283048622,0.0860425034,2022-10-08T00:00:00.000Z
133,DXYN,366006,0.0002732203,-0.0240375423,-0.1178917034,2022-10-08T00:00:00.000Z
134,CATO,365943,0.0060122267,-0.0144810326,-0.0204907955,2022-10-08T00:00:00.000Z
135,Z,365518,0.0008207597,0.0062928357,0.0251760958,2022-10-08T00:00:00.000Z
136,CAKE,361204,0.0066448862,0.0520752543,0.1911154876,2022-10-08T00:00:00.000Z
137,PEP,355623,0.0559894661,0.07513592,0.1173966656,2022-10-08T00:00:00.000Z
138,TJX,351778,-0.0014213308,-0.0170533029,-0.0934375062,2022-10-08T00:00:00.000Z
139,WFC,344739,0.0176976773,0.1411752403,0.2906266364,2022-10-08T00:00:00.000Z
140,RCL,342084,0.0412349427,0.202699536,0.92789558,2022-10-08T00:00:00.000Z
141,HLF,335992,0.0038692894,0.0098226272,-0.0068449325,2022-10-08T00:00:00.000Z
142,XOM,335521,0.0059612341,0.0363745867,0.0489031092,2022-10-08T00:00:00.000Z
143,HGV,329743,0.0133455061,0.0716221507,0.4019206937,2022-10-08T00:00:00.000Z
144,FDX,325125,0.0073823212,0.052007041,0.1938390612,2022-10-08T00:00:00.000Z
145,SQ,318952,-0.0034486759,-0.010658775,-0.0366691844,2022-10-08T00:00:00.000Z
146,SIRI,313378,0.0067016215,0.0395844905,0.1806190919,2022-10-08T00:00:00.000Z
147,LOGI,305330,0.0396449646,0.3553010856,0.980936884,2022-10-08T00:00:00.000Z
148,LOW,300511,0.0359517049,0.0609333795,0.3214843698,2022-10-08T00:00:00.000Z
149,HSY,296182,0.039180453,0.3122671544,1.1457276822,2022-10-08T00:00:00.000Z
150,GDDY,295339,-0.0006771833,-0.0084641324,-0.0622624973,2022-10-08T00:00:00.000Z
151,WING,291670,-0.0006857017,0.1002134684,1.0595540033,2022-10-08T00:00:00.000Z
152,ADSK,291526,0.0027442559,0.0288222013,0.1012941617,2022-10-08T00:00:00.000Z
153,BNED,286130,0.0209738875,0.1491053678,0.5619774295,2022-10-08T00:00:00.000Z
154,SSTK,284709,0.0035124816,0.0122947652,-0.0024585903,2022-10-08T00:00:00.000Z
155,UPWK,283614,0.0553875897,0.3964685976,1.9112811944,2022-10-08T00:00:00.000Z
156,UDMY,281337,0.0213312855,0.1605633602,0.7859770798,2022-10-08T00:00:00.000Z
157,EB,274925,0.0043650173,0.0600524094,0.0953896229,2022-10-08T00:00:00.000Z
158,LYFT,272475,-0.0982610003,-0.5315207114,-2.2118304036,2022-10-08T00:00:00.000Z
159,UPS,269558,0.0170678857,0.1121609175,0.350312899,2022-10-08T00:00:00.000Z
160,MGI,267190,0.0101061899,-0.0273139192,-0.1453776268,2022-10-08T00:00:00.000Z
161,IBKR,260574,-0.0003837667,0.1976466969,0.3168418986,2022-10-08T00:00:00.000Z
162,PCN,256628,0.0097426764,0.0627761076,0.0815072206,2022-10-08T00:00:00.000Z
163,PTY,256628,0.0097426764,0.0627761076,0.0815072206,2022-10-08T00:00:00.000Z
164,NOC,255060,0.0294134949,0.2192517151,1.5047019449,2022-10-08T00:00:00.000Z
165,JNJ,250202,0.0091934175,0.0507847646,0.1713549048,2022-10-08T00:00:00.000Z
166,WETF,249140,-0.0008027551,-0.0104348105,-0.0072243315,2022-10-08T00:00:00.000Z
167,LEN,245413,0.0,-0.0126301723,-0.0871239725,2022-10-08T00:00:00.000Z
168,SCHL,244713,0.0093996485,0.0359734287,0.0875259204,2022-10-08T00:00:00.000Z
169,RUM,238630,0.1817823062,0.7685486255,,2022-10-08T00:00:00.000Z
170,UNH,237762,0.0079918231,0.0302915562,0.1689409802,2022-10-08T00:00:00.000Z
