,Ticker,Weekly Views,pct_change_week,pct_change_month,Date
0,RJAC,46536.0,-65.405116082,-72.7509076004,2022-10-10T00:00:00.000Z
1,AAPL,44285.0,-62.8397371888,-82.4206577615,2022-10-10T00:00:00.000Z
2,MANU,30797.0,-63.0057178551,-85.1901899495,2022-10-10T00:00:00.000Z
3,TSLA,23440.0,-50.8451117728,-45.2438796487,2022-10-10T00:00:00.000Z
4,PINS,21780.0,-62.0775512336,-63.5718944956,2022-10-10T00:00:00.000Z
5,SANW,20684.0,-48.3970760672,-54.9584077349,2022-10-10T00:00:00.000Z
6,STBA,20684.0,-48.3970760672,-54.9584077349,2022-10-10T00:00:00.000Z
7,RVMD,20098.0,-48.5102349294,-57.6572211103,2022-10-10T00:00:00.000Z
8,META,19152.0,-59.2588653237,-83.57729015,2022-10-10T00:00:00.000Z
9,SPOT,17476.0,-61.797752809,-60.3034708341,2022-10-10T00:00:00.000Z
10,HEES,16175.0,-63.3386219402,-66.6164451416,2022-10-10T00:00:00.000Z
11,NKE,16154.0,-64.3305069776,-65.5138550873,2022-10-10T00:00:00.000Z
12,WMT,15785.0,-62.3332617462,-63.2684879229,2022-10-10T00:00:00.000Z
13,TWTR,15249.0,-42.4891570809,-39.2857142857,2022-10-10T00:00:00.000Z
14,PYPL,15101.0,-57.9944367177,-53.8209840678,2022-10-10T00:00:00.000Z
15,SNPO,15059.0,-60.9617627997,-54.5114031113,2022-10-10T00:00:00.000Z
16,BRDS,14920.0,-59.3858885017,-55.3413750786,2022-10-10T00:00:00.000Z
17,BKT,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
18,BKCC,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
19,BLK,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
20,BIT,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
21,BHK,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
22,BGR,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
23,DSU,14135.0,-61.4976029636,-63.1968130809,2022-10-10T00:00:00.000Z
24,DIS,14134.0,-59.4886640488,-67.2209466824,2022-10-10T00:00:00.000Z
25,WWE,13916.0,-59.2599098308,-71.0481421379,2022-10-10T00:00:00.000Z
26,TETE,12461.0,-62.3466489394,-60.1286276517,2022-10-10T00:00:00.000Z
27,PFIN,11514.0,-61.1656379642,-65.5722999641,2022-10-10T00:00:00.000Z
28,MAT,11401.0,-91.5414063775,-92.2997433473,2022-10-10T00:00:00.000Z
29,ISAA,11292.0,-64.5351758794,-50.2861671216,2022-10-10T00:00:00.000Z
30,ABNB,11282.0,-56.0567110696,-54.7325763351,2022-10-10T00:00:00.000Z
31,BRK.B,10703.0,-60.7488631363,-54.8701298701,2022-10-10T00:00:00.000Z
32,BRK.A,10703.0,-60.7488631363,-54.8701298701,2022-10-10T00:00:00.000Z
33,GM,10333.0,-58.3682514102,-60.4008584349,2022-10-10T00:00:00.000Z
34,STLA,10333.0,-56.0353997362,-60.7095326819,2022-10-10T00:00:00.000Z
35,IBM,10321.0,-63.9793389872,-62.4718202313,2022-10-10T00:00:00.000Z
36,F,10217.0,-60.5338380717,-60.5810409352,2022-10-10T00:00:00.000Z
37,PGRE,10153.0,-60.3243454474,-59.3294343855,2022-10-10T00:00:00.000Z
38,TWOA,9874.0,-62.6310411384,-66.6283628498,2022-10-10T00:00:00.000Z
39,GOOG,9802.0,-62.4228483803,-62.2360918477,2022-10-10T00:00:00.000Z
40,GOOGL,9802.0,-62.4228483803,-62.2360918477,2022-10-10T00:00:00.000Z
41,GEEX,9730.0,-57.0210698352,-57.4774932261,2022-10-10T00:00:00.000Z
42,GAME,9179.0,-60.6102218598,-60.1519426959,2022-10-10T00:00:00.000Z
43,BGS,8832.0,-58.9362097824,-65.5121246437,2022-10-10T00:00:00.000Z
44,WBD,8495.0,-62.8601407773,-66.2923577494,2022-10-10T00:00:00.000Z
45,MTRX,8405.0,-68.8519122443,-62.3043458761,2022-10-10T00:00:00.000Z
46,FVRR,8216.0,-59.6443833194,-58.6616352201,2022-10-10T00:00:00.000Z
47,SSNC,8195.0,-63.8429296272,-64.8645172355,2022-10-10T00:00:00.000Z
48,FFIV,8082.0,-54.3647656691,-32.8123701056,2022-10-10T00:00:00.000Z
49,MU,8041.0,68.5037720034,81.6764572978,2022-10-10T00:00:00.000Z
50,UBER,7931.0,-61.6173837294,-57.9903596589,2022-10-10T00:00:00.000Z
51,EA,7762.0,-57.8450008146,-49.2679738562,2022-10-10T00:00:00.000Z
52,QSR,7056.0,-66.3406955111,-66.859236297,2022-10-10T00:00:00.000Z
53,MCN,6914.0,-50.294751977,-53.5942009531,2022-10-10T00:00:00.000Z
54,CFFI,6875.0,-40.9567159052,-57.6688627548,2022-10-10T00:00:00.000Z
55,COKE,6855.0,-72.6227085746,-59.0501792115,2022-10-10T00:00:00.000Z
56,ARVL,6810.0,-63.2507689817,-67.7617875402,2022-10-10T00:00:00.000Z
57,UDMY,6529.0,-60.8877972803,-63.3696140036,2022-10-10T00:00:00.000Z
58,JJSF,6457.0,-65.9045305735,-67.8899995027,2022-10-10T00:00:00.000Z
59,LNW,6269.0,-55.5263904654,-51.0004689698,2022-10-10T00:00:00.000Z
60,RUM,6191.0,-72.8453002325,,2022-10-10T00:00:00.000Z
61,AAL,6087.0,-59.8959019634,-60.1244677367,2022-10-10T00:00:00.000Z
62,NWFL,6064.0,-62.625577812,-57.7804079928,2022-10-10T00:00:00.000Z
63,RACE,6000.0,-60.3646452636,-68.8602864854,2022-10-10T00:00:00.000Z
64,GE,5908.0,-61.1852046515,-59.1988950276,2022-10-10T00:00:00.000Z
65,ZM,5886.0,-56.1073825503,-60.8148591971,2022-10-10T00:00:00.000Z
66,RELI,5762.0,-67.0968478757,-68.5102196961,2022-10-10T00:00:00.000Z
67,PEGY,5689.0,-63.0967825636,-65.6544312968,2022-10-10T00:00:00.000Z
68,RIVN,5688.0,-58.5785027673,-59.313304721,2022-10-10T00:00:00.000Z
69,GME,5582.0,-71.3567323481,-67.1782207326,2022-10-10T00:00:00.000Z
70,ATVI,5575.0,-24.5908291627,-23.3782297966,2022-10-10T00:00:00.000Z
71,WFC,5500.0,-60.0609977489,-60.8290007834,2022-10-10T00:00:00.000Z
72,ADBE,5411.0,-57.5873961436,-50.3896580178,2022-10-10T00:00:00.000Z
73,UBS,5393.0,-37.1152052239,-31.7687246964,2022-10-10T00:00:00.000Z
74,ETSY,5298.0,-62.7871040247,-77.5537008007,2022-10-10T00:00:00.000Z
75,WLFC,4990.0,-60.6125187465,-60.9026091044,2022-10-10T00:00:00.000Z
76,IMTE,4926.0,-60.4750060178,-59.947963249,2022-10-10T00:00:00.000Z
77,SHOP,4888.0,-57.9671510878,-55.5878611666,2022-10-10T00:00:00.000Z
78,TGAA,4829.0,-63.6343098125,-61.7474651458,2022-10-10T00:00:00.000Z
79,AMPI,4781.0,-67.0389520855,-56.5284597199,2022-10-10T00:00:00.000Z
80,NXST,4770.0,-23.5331837127,17.3143138219,2022-10-10T00:00:00.000Z
81,DPZ,4755.0,-63.076564684,-62.2409274994,2022-10-10T00:00:00.000Z
